Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"C60   Neopl malig do penis";7;2;6;1;23;2;3;19;10;26;15;8;28;8;5;44;37;9;32;71;19;11;27;6;6;21;8;454
"C61   Neopl malig da prostata";111;45;169;27;360;44;133;378;258;687;271;329;787;200;157;1283;1513;297;1558;3249;961;462;1205;256;215;468;153;15576
"C62   Neopl malig dos testiculos";1;-;8;2;20;3;-;3;3;13;1;5;11;1;1;11;24;3;33;107;40;30;49;2;3;9;12;395
"C63   Neopl malig outr org genit masc e NE";1;-;1;-;-;-;1;-;-;2;-;1;-;1;1;5;9;1;2;15;3;1;3;-;2;1;-;50
"C64   Neopl malig do rim exceto pelve renal";17;5;56;2;74;4;17;40;37;131;58;42;114;27;23;124;369;62;395;953;295;163;364;51;35;114;44;3616
"C65   Neopl malig da pelve renal";-;-;-;1;3;1;1;3;-;3;2;1;3;1;1;7;10;1;6;20;8;6;10;2;1;3;1;95
"C66   Neopl malig dos ureteres";-;-;-;-;1;-;-;-;2;-;1;-;-;-;1;7;4;4;10;19;7;3;11;2;-;3;2;77
"C67   Neopl malig da bexiga";27;8;37;5;57;5;18;46;29;123;50;71;159;21;27;222;449;99;522;1240;302;220;400;50;42;148;49;4426
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;2;-;1;-;1;-;4;11;4;3;3;1;1;8;19;4;17;60;10;11;14;1;2;6;2;185
"C69   Neopl malig do olho e anexos";4;2;12;2;5;1;1;2;6;10;2;1;9;2;3;9;23;7;13;39;7;9;14;5;5;5;2;200
"C70   Neopl malig das meninges";-;-;-;-;5;1;-;2;2;4;2;1;3;2;3;14;19;10;18;26;15;4;11;2;2;3;5;154
"C71   Neopl malig do encefalo";48;23;79;9;226;20;54;170;129;335;113;172;327;108;57;457;713;163;770;1898;591;304;669;123;110;253;126;8047
"C72   Neop mal med esp nerv cran out sist nerv cen";9;1;9;1;17;1;2;23;10;41;17;15;39;11;7;77;165;13;74;249;108;58;91;18;13;30;9;1108
"C73   Neopl malig da gland tireoide";1;2;12;-;22;2;12;18;17;46;19;16;46;9;9;52;60;18;81;190;47;30;63;8;11;31;15;837
"C74   Neopl malig da gland supra-renal";-;2;1;1;8;1;1;7;7;12;6;5;20;2;5;28;22;9;32;98;21;20;23;5;6;11;2;355
"C75   Neopl malig outr gland endocrinas estr relac";2;3;1;-;8;-;1;5;4;7;6;2;12;5;5;12;36;4;34;61;19;15;19;6;5;10;12;294
"C76   Neopl malig outr localiz e mal definidas";21;3;46;5;108;5;15;112;37;152;50;90;145;59;40;303;407;43;407;936;198;152;247;40;50;97;31;3799
"C77   Neopl malig secund e NE gangl linfaticos";2;-;-;-;2;2;3;10;-;10;6;17;7;3;-;22;16;1;13;30;10;8;6;-;-;2;1;171
"C78   Neopl malig secund org respirat e digestivos";37;4;2;-;52;13;8;90;26;132;57;67;74;29;9;211;487;22;172;504;68;106;87;3;47;20;4;2331
"C79   Neopl malig secund de outr localiz";16;2;1;3;37;2;5;49;13;101;38;62;55;17;2;180;288;11;80;296;54;84;59;7;25;24;5;1516
"C80   Neopl malig s/especificacao de localiz";21;7;32;6;65;7;15;75;52;158;102;63;288;55;22;249;916;69;609;1512;285;198;363;52;51;137;56;5465
"C81   Doenc de Hodgkin";4;-;5;1;11;1;4;12;6;21;8;7;25;5;2;20;86;8;38;128;27;30;39;4;8;16;7;523
"C82   Linfoma nao-Hodgkin folicular";2;-;1;-;1;-;2;5;3;5;1;5;9;2;2;17;15;3;13;31;20;9;13;2;3;5;4;173
"C83   Linfoma nao-Hodgkin difuso";6;3;12;2;14;-;5;28;10;29;15;16;15;12;5;40;87;19;47;142;63;61;83;11;10;17;6;758
"C84   Linfomas de celulas T cutaneas e perifericas";-;1;2;1;4;-;-;7;5;12;4;2;7;3;3;16;30;4;27;74;9;10;17;1;2;8;2;251
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";8;10;35;1;49;7;14;31;40;104;59;61;134;28;35;144;337;64;317;883;199;105;296;30;37;74;37;3139
"C88   Doenc imunoproliferativas malignas";-;-;1;1;1;-;-;1;2;2;-;-;-;-;-;2;3;1;5;15;5;4;5;-;-;-;2;50
"C90   Mieloma mult e neopl malig de plasmocitos";16;4;25;8;46;3;16;60;38;134;46;85;149;29;29;208;393;83;303;932;236;114;262;41;36;147;50;3493
"C91   Leucemia linfoide";16;7;50;5;76;7;10;47;39;96;43;34;81;24;19;131;197;40;161;495;120;76;172;24;28;71;40;2109
"C92   Leucemia mieloide";29;13;39;7;70;7;22;60;44;113;73;72;129;44;26;162;346;53;304;909;205;165;242;43;46;116;59;3398
"C93   Leucemia monocitica";-;-;-;-;4;1;1;1;1;3;1;1;1;-;1;4;2;1;2;10;1;2;3;1;-;1;1;43
"C94   Outr leucemias de celulas de tipo espec";2;-;2;-;-;-;2;6;2;8;2;2;4;-;-;4;8;1;4;31;27;7;13;1;3;5;7;141
"C95   Leucemia de tipo celular NE";5;3;22;2;35;6;9;38;31;71;21;28;71;36;13;119;190;35;108;285;109;59;141;19;17;41;13;1527
"C96   Outr neopl mal e NE tec linf hematop e corr";1;2;2;-;5;1;4;7;1;7;2;4;2;4;3;18;22;4;12;42;17;11;18;1;-;5;-;195
"C97   Neopl malig de localiz mult independentes";-;-;-;-;4;-;1;5;-;6;4;4;6;3;-;9;4;-;1;22;10;4;1;-;1;2;-;87
"D00   Carcinoma in situ cav oral esofago estomago";-;-;1;-;3;-;-;4;-;9;3;5;5;3;-;6;5;-;1;5;1;-;-;-;-;-;-;51
"D01   Carcinoma in situ de outr orgaos digestivos";4;-;1;-;3;-;-;2;2;8;-;1;1;-;-;4;4;-;4;10;2;3;1;-;2;-;-;52
"D02   Carcinoma in situ ouvido medio e ap respirat";-;-;1;-;1;-;-;1;2;4;1;3;1;1;-;1;7;-;1;14;3;4;4;-;1;1;-;51
"D03   Melanoma in situ";-;-;-;-;1;-;-;1;-;3;-;1;-;2;-;1;2;-;2;2;1;-;-;-;-;-;-;16
"D04   Carcinoma in situ da pele";1;-;-;-;5;-;-;1;-;10;1;2;1;1;-;7;3;1;1;10;1;-;3;1;3;1;-;53
"D05   Carcinoma in situ da mama";-;-;-;-;2;-;1;1;1;8;1;2;2;-;-;1;1;-;2;8;1;1;-;-;-;-;-;32
"D06   Carcinoma in situ do colo do utero";-;1;1;-;2;-;-;3;1;4;2;-;-;-;-;2;1;-;-;2;1;-;2;-;1;-;-;23
"D07   Carcinoma in situ outr orgaos genitais e NE";-;-;1;-;2;1;1;6;1;4;-;3;1;1;1;4;1;-;1;6;2;-;1;-;-;1;-;38
"D09   Carcinoma in situ de outr localiz e das NE";2;1;-;-;6;-;-;7;-;6;1;3;1;-;-;5;2;1;2;9;-;10;2;1;-;-;-;59
"D10   Neopl benig da boca e da faringe";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;6
"D11   Neopl benig de gland salivares maiores";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"D12   Neopl benig do colon reto canal anal e anus";-;-;-;-;-;-;-;-;-;1;-;2;1;1;-;2;4;1;1;6;-;2;1;-;-;1;-;23
"D13   Neopl benig outr part e mal def ap digestivo";-;-;-;-;-;-;-;2;1;3;-;1;1;-;-;3;4;1;1;6;1;-;2;1;2;1;-;30
"D14   Neopl benig ouvido medio e aparelho respirat";-;-;-;-;2;-;-;1;1;7;-;1;-;-;-;1;1;-;-;2;-;2;-;-;2;-;-;20
"D15   Neopl benig outr orgaos intratoracicos e NE";-;-;-;-;2;-;-;1;1;1;1;-;2;-;-;1;4;-;1;7;1;1;1;-;-;1;-;25
"D16   Neopl benig de osso e cartilagem articular";-;-;-;-;3;-;1;-;-;-;-;-;1;1;-;4;4;-;1;3;-;-;2;-;1;-;-;21
"D17   Neopl lipomatosa benig";-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;2;-;-;1;2;-;-;-;-;-;1;-;10
"D18   Hemangioma e linfangioma de qualquer localiz";1;-;2;-;-;1;1;1;1;2;-;2;-;-;-;4;8;2;7;17;5;1;1;1;1;1;-;59
"D19   Neopl benig de tec mesotelial";-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;4;-;-;-;-;1;-;-;1;9
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;4;-;-;2;3;-;-;2;-;-;-;-;14
"D23   Outr neopl benig da pele";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;3;-;-;-;-;1;-;-;8
"D24   Neopl benig da mama";1;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;7
"D25   Leiomioma do utero";-;-;1;-;3;-;-;1;1;-;1;-;6;6;2;5;8;1;8;11;6;2;6;-;-;4;2;74
"D26   Outr neopl benig do utero";-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;1;-;2;-;-;-;-;-;-;-;-;7
"D27   Neopl benig do ovario";1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;1;-;-;1;-;-;-;7
"D28   Neopl benig outr org genitais femin e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"D29   Neopl benig dos orgaos genitais masc";-;-;-;-;2;-;-;1;2;4;-;-;2;-;-;2;-;-;-;2;2;1;-;-;-;1;1;20
"D30   Neopl benig dos orgaos urinarios";-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;1;-;-;-;-;1;1;-;-;-;-;7
"D31   Neopl benig do olho e anexos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"D32   Neopl benig das meninges";1;-;4;1;-;-;3;-;1;13;4;2;12;1;2;8;28;6;31;73;7;9;9;1;2;12;6;236
"D33   Neopl benig encef e out part sist nerv centr";2;-;1;2;1;-;-;5;4;5;1;-;2;2;-;5;2;2;3;23;4;6;1;-;1;3;1;76
"D34   Neopl benig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
"D35   Neopl benig de outr gland endocrinas e NE";-;-;1;1;-;-;-;1;1;3;2;2;2;2;1;2;3;2;3;11;3;3;2;-;1;2;4;52
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;4;-;2;2;1;-;3;-;-;-;1;16
"D37   Neopl comp incerto/desc cav oral e org dig";2;1;7;-;13;2;1;9;8;11;2;3;3;8;1;20;114;4;12;85;10;15;10;3;4;-;1;349
"D38   Neopl comp inc/desc ouv med org resp intrat";6;-;7;1;14;3;-;12;8;17;5;7;5;5;2;14;41;10;17;75;21;11;20;-;1;6;-;308
"D39   Neopl comp incerto/desconh org genitais fem";-;-;2;-;3;1;1;4;3;2;-;2;3;1;-;12;13;1;8;12;1;1;3;-;1;-;-;74
"D40   Neopl comp incerto/desconh org genitais masc";-;-;5;-;6;-;-;3;-;12;1;1;4;-;-;2;15;-;1;10;3;2;1;-;2;-;-;68
"D41   Neopl comp incerto/desconh orgaos urinarios";-;-;-;-;1;-;-;4;1;-;2;2;1;1;-;3;11;3;3;14;4;3;6;-;2;-;-;61
"D42   Neopl comp incerto/desconhecido meninges";-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;2;-;1;4;1;1;1;-;1;1;-;15
"D43   Neopl comp inc/desc encefalo sist nerv centr";4;-;2;3;9;-;-;15;7;25;7;3;4;8;3;20;74;12;13;72;12;14;12;-;3;1;1;324
"D44   Neopl comp incerto/desconh gland endocrinas";1;-;1;2;2;1;1;3;-;2;3;-;5;2;1;5;8;3;8;25;-;5;4;2;1;2;1;88
"D45   Policitemia vera";-;-;3;-;1;-;-;-;2;4;1;1;4;-;-;2;12;3;7;15;2;8;7;-;-;1;1;74
"D46   Sindr mielodisplasicas";1;2;14;1;15;-;3;17;4;35;7;11;21;6;4;38;120;26;144;261;64;40;75;8;16;24;13;970
"D47   Out neop comp inc/des tec linf hemat tec cor";3;1;3;-;4;-;3;4;3;7;6;7;17;3;2;37;47;4;42;141;16;9;24;3;3;14;6;409
"D48   Neopl comp inc/desconh outr localiz e NE";-;-;14;1;14;1;1;11;5;12;6;6;5;4;2;20;53;3;23;80;7;14;18;2;6;4;1;313
"D50   Anemia p/defic de ferro";2;3;3;-;10;-;1;16;7;15;4;19;9;2;1;16;23;-;5;40;10;11;9;1;2;3;-;212
"D51   Anemia p/defic de vitamina B12";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;-;-;-;1;1;-;-;-;1;8
"D52   Anemia p/defic de folato";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D53   Outr anemias nutricionais";-;1;4;2;11;1;-;6;4;14;4;7;16;3;3;24;42;6;42;35;12;3;16;1;2;4;1;264
"D55   Anemia dev transt enzimaticos";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"D56   Talassemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;2;3;-;1;-;-;2;-;14
"D57   Transt falciformes";4;1;2;1;11;-;5;20;20;15;5;7;25;7;5;69;51;14;47;68;8;3;9;4;10;19;11;441
"D58   Outr anemias hemoliticas hereditarias";1;1;6;-;3;2;-;2;2;6;1;2;6;2;1;8;8;-;13;12;2;2;7;1;1;5;2;96
"D59   Anemia hemolitica adquir";5;-;6;4;9;1;3;15;5;17;7;4;9;1;2;14;21;3;13;37;9;2;5;2;2;10;4;210
"D60   Aplasia pura da serie vermelha adquir";1;-;-;-;5;-;-;2;-;2;-;-;1;-;-;4;4;-;1;11;1;2;5;-;1;1;-;41
"D61   Outr anemias aplasticas";3;1;21;-;27;2;2;23;13;30;10;11;28;10;10;64;114;11;107;199;45;18;39;16;13;20;6;843
"D62   Anemia aguda pos-hemorragica";4;1;-;-;9;-;-;8;1;2;2;1;-;1;-;13;8;-;9;10;1;2;1;-;-;2;3;78
"D64   Outr anemias";14;20;20;6;58;6;6;57;52;71;40;47;74;59;17;214;286;8;418;334;76;19;87;11;30;47;4;2081
"D65   Coagulacao intravascular disseminada";3;1;1;-;19;1;2;9;1;6;2;8;11;1;-;11;20;4;17;41;5;5;6;3;8;5;3;193
"D66   Defic hereditaria do fator VIII";-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;3;3;1;3;2;1;-;-;1;1;-;-;19
"D67   Defic hereditaria do fator IX";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"D68   Outr defeitos da coagulacao";1;1;8;2;20;3;4;16;8;30;7;4;29;4;5;50;102;3;24;171;40;32;27;10;12;23;7;643
"D69   Purpura e outr afeccoes hemorragicas";1;2;12;-;24;1;2;23;11;20;10;8;56;6;5;36;47;7;82;123;21;10;41;3;15;11;6;583
"D70   Agranulocitose";1;-;2;-;3;1;-;4;3;7;3;4;16;2;2;10;35;3;17;37;18;7;9;3;4;6;3;200
"D71   Transt func neutrofilos polimorfonucleares";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;7;-;-;13;2;1;3;-;1;3;-;32
"D72   Outr transt dos globulos brancos";1;-;-;-;3;-;-;-;-;1;1;1;-;-;1;3;1;2;6;5;3;1;3;-;1;-;-;33
"D73   Doenc do baco";-;-;3;-;3;-;1;2;2;-;-;2;4;2;-;5;8;-;9;22;4;4;3;-;-;3;1;78
"D74   Metemoglobinemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;3
"D75   Outr doenc sangue e orgaos hematopoeticos";1;-;2;-;1;-;-;5;3;5;4;2;16;2;1;15;29;6;42;29;6;6;10;3;2;8;-;198
"D76   Alg doenc q env tec linforr e sist reticuloh";-;-;2;-;3;-;1;2;-;2;-;-;5;1;1;6;5;3;8;25;4;1;2;2;-;3;2;78
"D80   Imunodefic c/predom defeitos anticorpos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;2;3;2;-;-;1;-;-;-;12
"D81   Defic imunitarias combinadas";-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;2;1;-;2;1;1;-;3;-;-;-;1;15
"D82   Imunodeficiencia assoc c/outr defeitos major";-;-;-;-;-;-;1;-;1;-;2;1;-;-;1;1;-;-;1;2;3;-;-;-;-;-;-;13
"D83   Imunodeficiencia comum variavel";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;2;1;1;1;-;-;1;-;-;9
"D84   Outr imunodeficiencias";1;-;1;-;4;-;-;-;2;17;5;3;4;1;1;11;15;1;18;29;4;7;8;2;7;3;3;147
"D86   Sarcoidose";-;-;1;-;-;-;-;1;-;1;-;1;4;-;1;1;-;1;-;8;3;3;5;1;2;2;-;35
"D89   Outr transt q comprom mecanismo imunit NCOP";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;1;-;3;4;2;-;1;-;2;-;-;17
"E00   Sindr de defic congen de iodo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;3
"E01   Transt tireoid e afecc assoc rel defic iodo";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;4
"E02   Hipotireoidismo subclinico p/defic de iodo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;4
"E03   Outr hipotireoidismos";6;-;1;-;5;1;4;3;4;12;4;9;7;2;2;19;91;6;59;118;54;31;66;6;13;21;5;549
"E04   Outr bocios nao-toxicos";-;1;3;1;2;-;-;1;-;2;2;3;1;-;2;1;4;1;5;10;-;1;3;-;2;1;-;46
"E05   Tireotoxicose";-;-;4;-;4;-;-;5;8;4;2;3;9;2;1;14;24;1;11;24;12;4;8;6;4;9;1;160
"E06   Tireoidite";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;1;2;-;-;1;2;-;-;-;-;1;1;11
"E07   Outr transt da tireoide";-;-;-;-;1;-;-;2;1;-;-;-;-;1;1;4;3;-;1;6;3;6;4;-;1;1;1;36
"E10   Diabetes mellitus insulino-dependente";38;11;28;12;281;10;51;198;68;225;131;142;138;68;45;266;495;55;224;748;450;309;634;79;86;122;71;4985
"E11   Diabetes mellitus nao-insulino-dependemte";74;76;258;33;560;26;96;497;105;387;189;245;423;173;120;798;782;107;727;1117;577;361;901;464;160;376;233;9865
"E12   Diabetes mellitus relac c/a desnutr";4;2;8;1;21;-;4;15;11;14;6;16;32;17;3;50;35;7;20;38;16;5;20;6;7;17;-;375
"E13   Outr tipos espec de diabetes mellitus";3;1;2;79;34;2;1;14;4;13;5;14;16;8;-;16;8;1;-;44;23;11;8;-;6;2;1;316
"E14   Diabetes mellitus NE";288;117;846;41;1368;144;396;1834;994;1366;1154;1365;3037;1260;593;4035;4513;921;5940;9168;2989;1181;3466;266;790;1297;203;49572
"E15   Coma hipoglicemico nao-diabetico";-;-;1;-;2;-;-;7;-;-;-;-;-;2;1;4;1;-;1;8;3;4;2;1;-;-;-;37
"E16   Outr transt da secrecao pancreatica interna";4;2;16;6;11;1;4;19;9;18;4;8;18;5;6;41;77;3;51;57;19;6;10;4;9;11;1;420
"E20   Hipoparatireoidismo";-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;6
"E21   Hiperparatireoid e out transt gland paratir";-;-;-;-;-;-;-;-;-;2;-;2;1;-;-;-;4;1;1;5;4;1;1;-;-;1;-;23
"E22   Hiperfuncao da hipofise";-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;2;-;2;3;1;-;-;-;-;-;-;13
"E23   Hipofuncao e outr transt da hipofise";1;-;1;-;2;-;-;2;-;4;-;-;1;-;-;2;8;-;3;7;1;1;3;1;1;3;1;42
"E24   Sindr de Cushing";-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;3;-;1;1;2;-;1;2;1;1;1;-;18
"E25   Transt adrenogenitais";-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;5
"E26   Hiperaldosteronismo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;4
"E27   Outr transt da gland supra-renal";-;1;1;1;1;-;1;2;1;2;-;1;3;1;-;7;2;1;4;12;2;2;4;-;1;-;-;50
"E28   Disfuncao ovariana";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"E29   Disfuncao testicular";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"E30   Transt da puberdade NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;3
"E31   Disfuncao poliglandular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;4
"E32   Doenc do timo";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"E34   Outr transt endocrinos";1;-;1;-;2;-;1;3;3;2;-;-;1;-;-;4;3;3;1;11;1;1;1;-;-;1;-;40
"E40   Kwashiorkor";1;-;-;1;1;-;-;2;-;1;-;1;1;-;-;2;2;1;2;6;-;2;1;-;-;1;-;25
"E41   Marasmo nutricional";-;-;4;-;17;-;-;7;3;6;2;4;5;3;6;22;34;3;34;81;19;-;23;29;1;16;-;319
"E42   Kwashiorkor marasmatico";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;5
"E43   Desnutric proteico-calorica grave NE";6;17;68;14;145;6;18;63;26;70;28;57;71;39;8;167;202;14;44;207;68;41;63;24;38;40;4;1548
"E44   Desnutric proteico-calorica grau moder leve";2;10;6;-;12;1;1;7;2;18;9;27;21;10;1;28;22;1;2;51;24;13;14;2;10;7;-;301
"E45   Atraso desenv dev desnutric proteico-caloric";1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;8
"E46   Desnutric proteico-calorica NE";15;8;33;1;93;1;10;46;38;94;74;113;270;96;19;338;411;78;297;510;108;29;198;56;67;66;7;3076
"E50   Defic de vitamina A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;3
"E51   Defic de tiamina";-;-;1;-;-;-;-;-;1;1;-;-;-;-;1;6;4;-;1;7;2;-;5;-;-;-;1;30
"E52   Defic de niacina";-;-;-;-;-;-;-;-;1;1;-;2;1;1;1;2;2;-;-;-;-;-;1;-;-;1;-;13
"E53   Defic de outr vitaminas do grupo B";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"E54   Defic de acido ascorbico";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;4
"E55   Defic de vitamina D";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;4
"E58   Defic de calcio da dieta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"E61   Defic de outr elementos nutrientes";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"E63   Outr defic nutricionais";-;-;-;-;-;-;1;-;1;2;-;1;-;-;-;2;2;-;2;3;1;1;-;-;-;-;-;16
"E64   Sequelas desnutric e outr defic nutricionais";-;-;2;-;-;-;2;3;1;5;4;4;4;1;-;5;4;2;-;14;3;3;6;-;-;-;-;63
"E66   Obesidade";14;3;10;3;48;2;11;53;17;63;37;56;200;45;25;147;288;56;237;750;239;108;273;67;62;106;26;2946
"E67   Outr form de hiperalimentacao";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;5
"E70   Disturbios metabolism aminoacidos aromaticos";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;1;-;8
"E71   Dist metab aminoacidos cad ramif e acid grax";-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;8;2;1;3;1;-;-;1;21
"E72   Outr disturbios metabolismo de aminoacidos";-;-;-;-;1;-;1;4;-;3;1;5;1;1;-;4;5;1;4;18;-;3;2;-;-;3;2;59
"E73   Intolerancia a lactose";-;-;-;-;-;-;-;1;1;1;-;4;-;-;1;1;-;-;-;-;-;3;1;-;-;-;-;13
"E74   Outr disturbios do metabolismo carboidratos";-;-;-;-;-;-;1;3;-;3;-;1;2;-;1;4;3;-;4;13;1;2;4;-;1;3;1;47
"E75   Disturb metab esfingolip e outr depos lipid";-;-;1;-;-;-;-;-;6;4;1;-;4;2;-;7;10;-;4;16;7;1;4;3;-;5;3;78
"E76   Disturbios metabolismo do glicosaminoglicano";1;-;1;-;-;-;-;-;1;2;1;1;2;-;1;3;6;-;1;6;2;-;3;1;2;-;-;34
"E77   Disturbios do metabolismo de glicoproteinas";-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;2;3;-;1;4;1;-;2;1;-;-;-;17
"E78   Disturbios metab lipoproteinas e out lipidem";10;2;10;-;22;1;27;62;42;76;31;19;63;21;33;128;193;22;79;357;144;101;140;37;24;72;14;1730
"E79   Disturbios metabolismo purina e pirimidina";-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;2;-;-;3;1;-;3;-;1;1;-;14
"E80   Disturbios metab porfirina e bilirrubina";-;-;-;-;2;-;-;1;-;1;-;-;1;1;-;-;3;-;3;4;-;1;1;1;1;1;1;22
"E83   Disturbios do metabolismo de minerais";-;2;2;-;4;1;-;1;7;7;2;2;4;1;2;12;23;-;12;44;7;5;11;3;7;8;1;168
"E84   Fibrose cistica";1;2;6;-;11;-;-;8;2;12;3;5;5;4;-;14;24;4;13;38;14;14;22;5;5;15;4;231
"E85   Amiloidose";1;-;-;-;-;-;-;2;1;6;4;-;5;2;1;8;16;3;22;37;9;2;15;1;1;7;2;145
"E86   Deplecao de volume";3;1;9;1;31;4;7;15;24;41;19;23;55;17;6;115;169;15;213;327;31;12;59;22;10;28;3;1260
"E87   Outr transt equil hidroeletr e acido-basic";12;30;30;12;128;13;2;64;37;74;26;94;74;34;15;164;190;16;253;352;66;34;40;9;17;27;13;1826
"E88   Outr disturbios metabolicos";7;1;6;2;51;1;2;7;5;33;25;18;85;73;3;32;52;3;71;151;22;11;11;2;7;28;9;718
"F01   Demencia vascular";-;-;-;-;2;-;1;3;1;27;4;2;7;-;2;12;47;-;28;121;9;25;-;-;3;6;34;334
"F03   Demencia NE";3;1;1;-;18;-;1;21;11;274;20;15;41;5;34;42;511;-;293;1156;15;138;2;2;6;46;99;2755
"F05   Delirium nao induz alcool outr subst psicoat";-;-;-;-;2;-;-;-;1;7;2;3;7;1;-;1;26;-;1;37;-;6;-;-;-;1;-;95
"F06   Outr transt ment lesao disf cereb doenc fis";-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;8;-;-;1;-;-;-;-;-;-;-;13
"F07   Transt pers comport dev doen lesao disf cer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;3
