Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"C66   Neopl malig dos ureteres";-;-;-;-;1;-;-;1;-;2;3;1;3;-;-;-;11;4;9;22;8;4;1;1;-;2;1;74
"C67   Neopl malig da bexiga";17;7;39;5;65;3;23;42;38;122;39;63;160;30;34;209;453;89;532;1216;311;197;408;36;34;125;58;4355
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;2;-;3;2;1;10;1;2;5;5;-;7;14;1;14;50;7;9;13;1;-;9;-;156
"C69   Neopl malig do olho e anexos";-;1;12;-;7;1;1;11;5;14;5;7;10;2;3;9;16;4;15;53;15;4;9;6;8;6;2;226
"C70   Neopl malig das meninges";-;1;-;1;2;2;2;8;4;10;5;2;3;2;1;11;16;4;14;24;14;6;13;2;1;1;7;156
"C71   Neopl malig do encefalo";51;25;96;11;194;22;62;178;121;291;114;175;357;106;70;417;682;136;778;1904;591;343;668;100;102;283;107;7984
"C72   Neop mal med esp nerv cran out sist nerv cen";2;1;7;2;16;1;2;13;9;42;19;14;34;11;5;53;209;18;57;259;82;57;74;13;7;29;20;1056
"C73   Neopl malig da gland tireoide";4;1;16;1;20;3;8;18;27;59;17;19;48;14;7;33;62;11;69;174;60;22;50;12;10;29;11;805
"C74   Neopl malig da gland supra-renal";-;2;-;2;7;1;2;6;4;14;3;2;24;3;-;22;31;6;30;87;20;11;22;7;10;19;5;340
"C75   Neopl malig outr gland endocrinas estr relac";3;3;6;1;8;1;4;3;3;11;6;7;18;1;3;14;33;6;49;64;19;7;23;3;4;15;7;322
"C76   Neopl malig outr localiz e mal definidas";14;1;35;4;64;5;15;63;40;137;68;69;130;44;38;223;379;57;389;911;203;108;260;29;38;99;33;3456
"C77   Neopl malig secund e NE gangl linfaticos";1;-;2;-;5;2;-;3;4;11;5;4;5;3;1;22;16;3;5;27;5;6;5;-;2;2;-;139
"C78   Neopl malig secund org respirat e digestivos";19;4;8;-;46;5;8;75;31;147;63;47;100;49;5;216;420;17;150;555;46;109;82;6;47;21;5;2281
"C79   Neopl malig secund de outr localiz";14;2;2;-;41;1;8;50;21;95;57;43;66;22;6;177;284;9;60;331;37;77;78;7;24;9;1;1522
"C80   Neopl malig s/especificacao de localiz";15;16;41;3;48;4;8;54;55;152;65;71;246;62;14;263;867;82;694;1694;382;179;448;50;39;126;35;5713
"C81   Doenc de Hodgkin";4;-;5;3;23;2;6;11;17;21;13;5;21;3;7;32;61;11;46;163;44;20;59;5;6;14;7;609
"C82   Linfoma nao-Hodgkin folicular";1;-;2;1;2;-;-;4;3;7;2;2;6;5;-;12;13;3;11;34;14;15;20;-;1;4;5;167
"C83   Linfoma nao-Hodgkin difuso";4;3;12;4;16;1;3;24;14;35;10;7;20;6;8;49;74;16;50;156;49;58;67;6;10;15;8;725
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;1;-;4;1;1;3;1;11;5;1;6;4;1;25;14;9;23;70;9;12;13;4;2;6;5;231
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";10;5;38;-;53;5;12;38;35;115;33;62;139;32;29;152;331;72;331;937;211;97;306;31;36;80;42;3232
"C88   Doenc imunoproliferativas malignas";1;-;1;-;5;-;1;2;-;1;-;-;2;1;-;2;4;1;6;12;7;3;3;-;-;4;1;57
"C90   Mieloma mult e neopl malig de plasmocitos";13;6;19;6;50;5;11;59;42;102;44;56;117;27;28;172;411;63;323;887;218;100;229;46;34;111;44;3223
"C91   Leucemia linfoide";14;10;48;5;63;1;6;54;44;92;35;44;61;25;21;104;184;44;166;417;126;76;143;25;31;71;29;1939
"C92   Leucemia mieloide";22;14;32;6;71;14;19;76;36;101;49;66;115;33;16;163;324;59;282;888;170;133;235;39;41;128;46;3178
"C93   Leucemia monocitica";-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;3;2;1;1;19;1;5;7;1;-;1;1;46
"C94   Outr leucemias de celulas de tipo espec";1;-;1;1;3;1;1;2;-;7;3;-;5;1;-;6;12;4;2;26;22;8;11;-;1;5;2;125
"C95   Leucemia de tipo celular NE";11;2;18;2;64;2;11;36;35;67;22;40;57;25;20;114;172;24;103;281;89;63;138;21;29;47;7;1500
"C96   Outr neopl mal e NE tec linf hematop e corr";-;1;2;-;4;-;3;8;2;11;3;2;11;3;-;11;12;2;9;32;14;6;12;3;-;8;-;159
"C97   Neopl malig de localiz mult independentes";2;-;1;-;2;-;-;9;-;4;2;6;11;3;-;5;9;-;1;28;6;9;3;-;1;1;1;104
"D00   Carcinoma in situ cav oral esofago estomago";-;-;-;-;7;-;-;3;2;11;2;1;1;4;-;2;3;-;-;8;2;1;1;-;-;-;-;48
"D01   Carcinoma in situ de outr orgaos digestivos";-;1;1;-;7;-;-;6;1;5;2;4;1;2;-;2;9;-;2;16;1;5;-;-;1;1;-;67
"D02   Carcinoma in situ ouvido medio e ap respirat";-;-;-;-;6;-;-;7;1;7;1;3;2;1;-;2;3;-;1;7;2;-;2;-;-;4;-;49
"D03   Melanoma in situ";-;-;1;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;1;5;1;-;1;-;-;-;-;15
"D04   Carcinoma in situ da pele";-;-;-;2;6;-;1;2;5;7;1;3;5;4;-;5;7;-;1;13;2;3;4;-;2;2;-;75
"D05   Carcinoma in situ da mama";-;-;1;-;1;-;-;3;-;2;-;4;1;3;1;2;2;-;-;7;3;3;-;-;-;-;-;33
"D06   Carcinoma in situ do colo do utero";-;-;1;-;6;-;-;7;1;3;1;1;2;2;-;1;1;-;-;2;-;1;-;-;-;-;-;29
"D07   Carcinoma in situ outr orgaos genitais e NE";-;-;-;-;4;-;-;7;2;10;2;2;3;1;-;2;1;-;-;6;1;1;1;-;-;-;-;43
"D09   Carcinoma in situ de outr localiz e das NE";1;-;-;-;3;-;-;1;1;6;-;5;2;3;-;3;5;-;1;20;1;-;2;-;1;1;-;56
"D10   Neopl benig da boca e da faringe";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;6
"D11   Neopl benig de gland salivares maiores";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D12   Neopl benig do colon reto canal anal e anus";-;-;-;-;2;-;-;-;-;2;-;-;-;1;-;3;-;1;2;4;2;-;1;-;-;-;1;19
"D13   Neopl benig outr part e mal def ap digestivo";-;-;-;-;7;-;-;-;1;4;1;3;2;-;-;6;3;1;3;12;1;-;1;-;1;-;1;47
"D14   Neopl benig ouvido medio e aparelho respirat";-;-;-;-;2;-;-;1;-;4;2;-;-;-;-;-;1;-;-;9;2;-;2;1;-;1;-;25
"D15   Neopl benig outr orgaos intratoracicos e NE";-;-;-;-;-;1;2;-;-;2;1;-;1;-;-;1;4;-;-;4;1;1;-;-;-;2;-;20
"D16   Neopl benig de osso e cartilagem articular";-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;1;-;-;2;-;2;1;-;-;-;-;10
"D17   Neopl lipomatosa benig";1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;3;-;1;2;-;-;-;-;-;1;-;11
"D18   Hemangioma e linfangioma de qualquer localiz";1;-;1;-;1;-;-;-;-;4;1;2;3;2;2;3;8;2;9;14;2;4;2;-;-;4;1;66
"D19   Neopl benig de tec mesotelial";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;2;6
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;1;-;-;-;-;2;-;-;1;-;-;2;2;-;3;3;1;-;3;-;-;-;-;18
"D22   Nevos melanociticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"D23   Outr neopl benig da pele";-;-;-;1;1;-;-;1;-;2;1;-;1;1;-;-;1;-;-;2;1;1;2;-;-;-;-;15
"D24   Neopl benig da mama";1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"D25   Leiomioma do utero";-;-;-;-;1;-;2;-;2;6;-;-;6;-;-;10;3;1;11;7;1;5;1;5;1;1;-;63
"D26   Outr neopl benig do utero";-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;1;-;-;2;1;-;2;1;-;-;-;-;10
"D27   Neopl benig do ovario";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;5
"D28   Neopl benig outr org genitais femin e NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D29   Neopl benig dos orgaos genitais masc";2;-;-;-;-;-;2;2;6;5;-;-;1;1;-;2;2;-;4;6;-;1;1;-;1;-;-;36
"D30   Neopl benig dos orgaos urinarios";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;4;-;-;1;-;-;-;-;8
"D31   Neopl benig do olho e anexos";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D32   Neopl benig das meninges";-;-;4;-;3;-;-;2;3;14;1;2;19;1;2;8;27;2;29;66;7;8;16;2;-;11;9;236
"D33   Neopl benig encef e out part sist nerv centr";1;-;1;-;1;-;-;1;-;6;1;-;2;-;-;5;5;1;3;15;4;2;2;-;-;3;1;54
"D34   Neopl benig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;3
"D35   Neopl benig de outr gland endocrinas e NE";1;-;-;-;1;-;-;2;1;2;1;2;2;-;-;4;11;1;5;17;4;3;1;1;3;3;-;65
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;1;2;-;1;-;-;1;1;1;10
"D37   Neopl comp incerto/desc cav oral e org dig";3;-;20;1;23;-;2;7;1;14;8;11;7;7;-;22;109;6;14;89;5;4;14;1;3;3;2;376
"D38   Neopl comp inc/desc ouv med org resp intrat";1;1;19;-;30;1;3;7;5;19;1;11;2;3;-;18;52;3;8;74;10;10;16;-;5;-;-;299
"D39   Neopl comp incerto/desconh org genitais fem";1;-;2;-;3;-;-;3;-;4;1;1;1;2;1;1;7;1;2;15;-;2;1;-;-;1;-;49
"D40   Neopl comp incerto/desconh org genitais masc";1;-;-;1;7;-;1;8;2;8;-;3;2;4;1;3;13;-;-;10;1;-;4;-;4;-;-;73
"D41   Neopl comp incerto/desconh orgaos urinarios";-;-;4;-;1;-;1;1;1;1;1;2;-;-;-;3;18;1;2;14;2;1;7;-;1;-;-;61
"D42   Neopl comp incerto/desconhecido meninges";-;-;-;-;1;-;-;1;-;2;1;1;-;-;-;1;-;-;-;-;1;2;4;-;-;-;2;16
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;1;-;11;-;-;3;11;20;4;1;10;13;3;4;75;2;10;80;9;16;19;1;-;4;-;297
"D44   Neopl comp incerto/desconh gland endocrinas";1;-;-;-;1;-;1;1;1;4;1;2;2;-;1;3;11;2;7;28;2;1;4;-;-;1;1;75
"D45   Policitemia vera";-;-;-;-;-;1;1;3;-;1;-;1;1;-;-;1;7;2;9;10;3;2;4;-;1;2;1;50
"D46   Sindr mielodisplasicas";5;5;9;-;16;1;4;23;14;49;8;7;23;13;4;34;102;23;106;274;58;36;88;7;7;25;11;952
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;6;2;14;-;1;4;4;11;7;3;15;9;2;28;59;5;39;109;15;8;19;4;4;23;7;398
"D48   Neopl comp inc/desconh outr localiz e NE";2;-;20;-;6;1;-;9;4;10;4;6;10;4;1;20;62;6;10;81;8;21;25;-;7;3;-;320
"D50   Anemia p/defic de ferro";2;-;6;-;33;-;1;19;4;8;8;14;4;4;4;24;24;-;5;30;16;4;19;-;6;5;-;240
"D51   Anemia p/defic de vitamina B12";-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;1;1;-;1;-;1;1;1;-;-;-;-;10
"D52   Anemia p/defic de folato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;-;-;-;-;-;-;-;5
"D53   Outr anemias nutricionais";2;-;6;1;7;-;1;13;7;15;11;12;17;5;3;38;47;5;28;57;16;5;14;6;1;8;-;325
"D55   Anemia dev transt enzimaticos";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;1;2;-;-;2;-;-;-;-;8
"D56   Talassemia";-;-;-;-;1;2;-;-;-;-;1;1;1;-;-;-;1;1;-;9;1;-;-;-;-;1;1;20
"D57   Transt falciformes";4;2;4;-;12;-;1;29;17;9;5;5;16;9;4;73;59;16;56;63;12;3;3;2;12;18;7;441
"D58   Outr anemias hemoliticas hereditarias";1;1;1;-;1;-;2;5;1;8;1;-;5;1;1;5;4;-;11;18;1;1;3;-;1;3;4;79
"D59   Anemia hemolitica adquir";2;-;5;1;13;1;3;12;3;22;6;6;9;6;1;13;11;3;23;34;17;7;8;-;4;6;2;218
"D60   Aplasia pura da serie vermelha adquir";-;-;-;-;3;-;-;1;1;3;-;2;2;-;-;4;6;-;-;9;1;4;2;-;-;1;-;39
"D61   Outr anemias aplasticas";5;7;14;3;28;3;3;17;10;50;11;10;22;7;13;65;113;11;105;163;35;32;38;12;11;14;9;811
"D62   Anemia aguda pos-hemorragica";2;-;-;-;9;2;1;8;2;-;5;4;2;1;-;15;8;1;15;14;5;2;3;-;1;3;-;103
"D64   Outr anemias";11;13;23;1;63;3;12;55;42;75;42;50;96;45;20;224;279;13;361;307;74;40;85;5;22;45;4;2010
"D65   Coagulacao intravascular disseminada";3;2;3;-;13;1;1;17;-;7;6;5;8;3;-;16;20;1;17;66;10;6;14;1;6;10;2;238
"D66   Defic hereditaria do fator VIII";1;-;-;-;2;-;-;-;1;2;-;-;2;-;-;3;5;-;1;5;2;1;2;-;-;1;1;29
"D67   Defic hereditaria do fator IX";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"D68   Outr defeitos da coagulacao";7;1;4;1;25;-;3;21;8;25;9;6;20;9;7;53;81;7;35;168;30;33;35;7;8;20;-;623
"D69   Purpura e outr afeccoes hemorragicas";3;1;8;3;22;2;2;25;15;21;10;9;72;9;8;38;59;1;65;100;30;17;30;8;12;13;6;589
"D70   Agranulocitose";-;-;2;-;4;-;-;6;3;9;6;1;9;1;5;7;35;1;19;44;15;9;17;1;5;1;-;200
"D71   Transt func neutrofilos polimorfonucleares";1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;6;-;2;11;-;3;1;1;1;-;-;29
"D72   Outr transt dos globulos brancos";1;-;-;-;2;-;-;2;1;3;-;-;1;-;-;7;5;-;4;6;-;2;4;1;1;-;-;40
"D73   Doenc do baco";-;-;-;-;3;-;-;-;-;3;1;1;3;1;1;8;11;-;10;16;6;1;6;2;-;4;-;77
"D74   Metemoglobinemia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D75   Outr doenc sangue e orgaos hematopoeticos";-;-;4;-;-;-;-;4;3;9;4;1;7;-;2;8;29;1;38;18;8;7;9;2;-;2;-;156
"D76   Alg doenc q env tec linforr e sist reticuloh";1;-;1;-;-;-;-;1;-;2;-;2;2;-;1;2;5;1;10;19;-;1;5;1;-;4;-;58
"D80   Imunodefic c/predom defeitos anticorpos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;2;-;-;-;-;-;-;6
"D81   Defic imunitarias combinadas";-;-;-;-;1;-;-;1;-;2;-;-;-;1;-;1;1;1;-;5;1;-;1;-;-;-;-;15
"D82   Imunodeficiencia assoc c/outr defeitos major";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;2;-;-;1;-;-;1;3;10
"D83   Imunodeficiencia comum variavel";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3;2;3;-;-;-;-;-;-;10
"D84   Outr imunodeficiencias";-;-;-;-;5;-;1;3;1;18;2;2;4;1;1;22;29;-;8;33;6;6;10;2;8;5;-;167
"D86   Sarcoidose";-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;2;6;-;10;10;2;2;6;-;-;-;1;43
"D89   Outr transt q comprom mecanismo imunit NCOP";-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;2;5;1;1;3;-;-;3;1;-;-;-;20
"E00   Sindr de defic congen de iodo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E01   Transt tireoid e afecc assoc rel defic iodo";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;1;-;-;1;1;7
"E03   Outr hipotireoidismos";7;1;2;2;4;-;-;7;4;14;6;12;9;2;3;13;88;13;45;106;29;32;42;4;6;17;1;469
"E04   Outr bocios nao-toxicos";1;-;2;-;2;-;1;3;3;3;2;1;1;2;-;1;4;-;3;3;5;3;6;-;-;1;-;47
"E05   Tireotoxicose";-;-;3;1;5;-;1;5;7;7;6;3;3;6;-;22;24;1;13;20;7;4;11;1;3;6;-;159
"E06   Tireoidite";-;-;-;-;-;-;-;4;-;1;-;1;1;-;-;1;3;1;-;2;1;2;1;-;-;-;-;18
"E07   Outr transt da tireoide";-;-;-;1;1;-;-;1;-;1;-;-;-;2;1;2;2;-;3;8;2;4;1;1;-;2;-;32
"E10   Diabetes mellitus insulino-dependente";41;7;30;15;243;28;63;184;44;232;126;147;113;74;59;237;351;45;192;658;349;253;408;103;80;113;46;4241
"E11   Diabetes mellitus nao-insulino-dependemte";95;62;235;48;551;25;90;393;106;427;184;181;402;200;160;653;516;110;570;992;490;273;695;431;161;293;137;8480
"E12   Diabetes mellitus relac c/a desnutr";4;2;7;-;17;1;4;19;7;15;11;21;47;18;6;63;34;9;27;64;23;6;11;5;5;9;3;438
"E13   Outr tipos espec de diabetes mellitus";2;1;-;55;27;1;4;20;5;14;6;17;11;10;-;11;14;2;1;47;15;6;4;-;9;4;1;287
"E14   Diabetes mellitus NE";304;105;657;41;1395;109;449;1745;1085;1593;1116;1397;3444;1376;720;4448;4781;910;5733;8732;2717;1327;3116;238;809;1395;298;50040
"E15   Coma hipoglicemico nao-diabetico";-;-;-;1;4;-;-;4;-;3;-;-;-;-;-;2;7;1;4;6;2;-;3;-;-;2;1;40
"E16   Outr transt da secrecao pancreatica interna";3;4;6;8;17;6;5;16;3;12;5;8;21;12;4;41;56;8;53;72;13;9;9;2;9;15;1;418
"E20   Hipoparatireoidismo";-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;6
"E21   Hiperparatireoid e out transt gland paratir";-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;1;2;-;2;6;-;-;1;-;-;-;-;16
"E22   Hiperfuncao da hipofise";-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;2;-;-;2;-;1;-;-;-;2;-;10
"E23   Hipofuncao e outr transt da hipofise";-;1;4;-;3;-;-;1;-;-;-;1;-;1;-;1;3;-;2;17;-;-;1;-;3;1;-;39
"E24   Sindr de Cushing";1;-;-;-;2;-;-;1;-;2;-;-;-;1;1;-;2;-;2;2;2;-;-;-;2;-;2;20
"E25   Transt adrenogenitais";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;1;-;5
"E26   Hiperaldosteronismo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;4
"E27   Outr transt da gland supra-renal";-;-;1;-;2;1;2;1;-;10;-;5;3;-;1;2;4;-;1;12;-;1;3;-;3;1;-;53
"E28   Disfuncao ovariana";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"E29   Disfuncao testicular";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E30   Transt da puberdade NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;-;-;-;-;1;6
"E31   Disfuncao poliglandular";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;4
"E32   Doenc do timo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
"E34   Outr transt endocrinos";-;-;-;-;3;-;-;2;-;3;-;-;-;-;-;1;1;-;2;9;-;3;1;-;-;-;-;25
"E40   Kwashiorkor";1;1;1;-;1;1;1;-;-;2;1;2;1;1;-;3;5;-;1;1;2;1;1;-;-;-;-;27
"E41   Marasmo nutricional";1;-;3;1;16;1;3;6;3;11;5;1;6;4;5;31;26;3;55;86;20;10;14;18;5;9;-;343
"E42   Kwashiorkor marasmatico";-;-;3;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;8
"E43   Desnutric proteico-calorica grave NE";6;12;58;8;135;13;12;63;21;75;31;61;59;38;7;215;196;19;50;200;46;20;38;18;37;37;3;1478
"E44   Desnutric proteico-calorica grau moder leve";3;6;1;-;8;1;2;11;2;17;5;29;7;8;2;14;17;-;1;51;14;6;13;2;6;1;-;227
"E45   Atraso desenv dev desnutric proteico-caloric";-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;5
"E46   Desnutric proteico-calorica NE";22;6;45;-;102;1;25;67;33;116;69;111;339;106;36;455;478;90;312;625;105;45;156;62;70;83;6;3565
"E51   Defic de tiamina";-;-;-;1;-;-;-;-;2;1;-;-;-;1;1;3;5;1;-;5;1;1;7;-;1;-;1;31
"E52   Defic de niacina";-;-;1;-;-;-;-;-;1;2;-;1;1;-;1;1;1;-;-;1;-;-;1;-;-;-;-;11
"E53   Defic de outr vitaminas do grupo B";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"E54   Defic de acido ascorbico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"E55   Defic de vitamina D";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;-;2;-;7
"E56   Outr defic vitaminicas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"E61   Defic de outr elementos nutrientes";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;-;-;6
"E63   Outr defic nutricionais";-;-;-;-;3;-;1;1;-;2;-;-;-;-;-;-;3;-;-;3;1;-;2;-;1;1;-;18
"E64   Sequelas desnutric e outr defic nutricionais";-;-;-;-;5;-;-;8;-;8;3;-;1;2;1;5;4;-;1;15;1;2;1;1;3;1;-;62
"E66   Obesidade";17;6;17;4;50;2;10;43;17;73;50;60;155;40;25;132;321;89;224;546;195;116;220;56;57;124;28;2677
"E67   Outr form de hiperalimentacao";-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;6
"E68   Sequelas de hiperalimentacao";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
"E70   Disturbios metabolism aminoacidos aromaticos";-;-;-;-;-;-;-;-;-;1;-;1;3;1;-;1;3;-;1;2;1;3;-;-;-;-;-;17
"E71   Dist metab aminoacidos cad ramif e acid grax";-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;1;2;-;2;2;3;1;1;-;-;-;-;16
"E72   Outr disturbios metabolismo de aminoacidos";1;-;1;1;6;-;-;2;2;2;1;5;2;1;-;1;3;-;5;9;3;-;2;-;-;-;2;49
"E73   Intolerancia a lactose";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;1;-;6
"E74   Outr disturbios do metabolismo carboidratos";-;-;1;-;1;-;-;3;2;-;1;5;1;1;-;4;3;-;3;8;3;3;1;-;1;2;-;43
"E75   Disturb metab esfingolip e outr depos lipid";-;-;-;-;-;1;-;-;2;4;-;-;9;-;-;4;13;2;4;14;3;3;5;2;-;3;4;73
"E76   Disturbios metabolismo do glicosaminoglicano";1;-;-;-;1;-;-;3;-;3;-;3;1;-;1;3;4;2;4;6;2;1;-;-;-;1;1;37
"E77   Disturbios do metabolismo de glicoproteinas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;-;-;2;-;-;-;-;8
"E78   Disturbios metab lipoproteinas e out lipidem";16;2;8;4;28;-;17;65;38;80;30;33;73;26;17;102;172;43;79;325;121;95;143;56;29;74;12;1688
"E79   Disturbios metabolismo purina e pirimidina";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;3;1;1;3;-;1;2;-;-;-;-;14
"E80   Disturbios metab porfirina e bilirrubina";-;1;1;-;-;-;-;1;1;-;-;1;1;-;-;-;4;-;1;8;1;-;4;-;-;-;-;24
"E83   Disturbios do metabolismo de minerais";2;-;3;-;2;2;-;1;8;6;-;2;6;1;3;19;17;2;22;45;4;7;7;2;3;4;3;171
"E84   Fibrose cistica";3;2;2;-;12;1;6;11;1;5;-;9;14;-;2;13;26;5;18;57;14;12;13;2;3;8;1;240
"E85   Amiloidose";-;-;2;-;1;-;-;3;2;4;3;1;7;-;1;12;16;1;19;36;9;5;7;2;2;5;6;144
"E86   Deplecao de volume";4;-;8;1;32;2;3;25;24;62;19;29;70;23;8;119;205;7;248;345;36;13;42;29;25;27;5;1411
"E87   Outr transt equil hidroeletr e acido-basic";11;18;47;19;152;6;7;46;18;65;13;66;87;25;9;154;197;18;217;315;39;24;56;10;11;41;13;1684
"E88   Outr disturbios metabolicos";2;2;7;2;36;-;2;12;1;26;32;23;57;88;5;22;49;6;60;166;16;6;8;5;11;38;5;687
"F01   Demencia vascular";1;-;-;-;6;-;-;4;-;33;7;4;3;-;1;2;51;-;29;117;8;15;10;-;1;3;16;311
"F03   Demencia NE";7;-;4;1;28;1;6;16;11;196;17;27;35;2;45;17;469;2;267;992;7;44;-;2;31;14;120;2361
"F04   Sindr amnes org n ind alcool out subst psic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"F05   Delirium nao induz alcool outr subst psicoat";-;1;-;-;2;-;-;-;1;10;2;6;4;-;2;1;23;-;-;27;1;1;3;-;2;-;-;86
"F06   Outr transt ment lesao disf cereb doenc fis";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;3;-;1;-;1;-;-;-;9
"F07   Transt pers comport dev doen lesao disf cer";-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"F09   Transt mental organico ou sintomatico NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;1;-;1;-;-;-;-;7
"F10   Transt mentais comport dev uso alcool";29;18;37;5;77;5;77;125;133;300;107;103;406;168;190;657;1178;162;301;664;431;155;363;98;107;231;130;6257
"F11   Transt mentais e comport dev uso de opiaceos";-;-;-;-;-;-;-;2;1;4;-;1;-;-;-;1;1;-;-;2;-;-;2;-;-;1;-;15
"F12   Transt mentais comport dev uso canabinoides";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;4;-;-;1;-;-;2;-;-;-;-;9
"F13   Transt mentais comport dev uso sedat hipnot";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;6
