Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"C67   Neopl malig da bexiga";22;6;29;3;67;5;17;53;31;114;40;50;161;45;31;261;509;79;521;1345;295;209;420;52;50;123;57;4595
"C68   Neopl malig de outr orgaos urinarios e NE";1;-;-;1;3;-;-;5;5;8;3;2;5;1;2;10;17;6;12;69;12;10;14;4;3;3;1;197
"C69   Neopl malig do olho e anexos";-;1;6;1;12;-;1;5;3;10;3;2;8;4;4;9;19;-;24;38;11;8;10;4;1;6;1;191
"C70   Neopl malig das meninges";3;2;-;-;2;2;1;3;4;8;2;5;3;1;-;7;19;-;15;34;15;6;9;1;-;5;-;147
"C71   Neopl malig do encefalo";50;28;93;17;215;12;41;168;99;318;93;167;311;103;55;439;787;155;741;1923;622;331;709;97;140;285;86;8085
"C72   Neop mal med esp nerv cran out sist nerv cen";7;1;14;4;22;2;4;22;13;41;15;21;33;2;5;65;155;19;73;281;99;64;106;9;6;21;19;1123
"C73   Neopl malig da gland tireoide";3;7;12;2;39;-;5;22;8;50;19;19;44;11;18;61;80;6;75;176;44;29;47;11;11;22;16;837
"C74   Neopl malig da gland supra-renal";2;-;4;-;5;-;3;4;4;14;2;6;16;5;4;16;27;6;22;81;30;15;20;2;4;13;6;311
"C75   Neopl malig outr gland endocrinas estr relac";1;-;3;-;12;-;3;5;4;10;6;4;9;2;1;20;37;7;33;58;8;7;18;6;2;12;3;271
"C76   Neopl malig outr localiz e mal definidas";37;12;51;10;93;10;20;164;55;204;63;97;180;50;39;270;440;73;401;1040;285;185;275;42;62;100;21;4279
"C77   Neopl malig secund e NE gangl linfaticos";1;1;3;-;5;4;1;7;2;9;3;9;7;-;-;20;13;4;6;24;12;9;7;-;9;6;2;164
"C78   Neopl malig secund org respirat e digestivos";20;4;8;4;62;7;13;80;40;148;48;76;66;40;6;181;470;19;213;479;64;83;60;14;45;27;12;2289
"C79   Neopl malig secund de outr localiz";17;7;3;4;41;4;7;74;28;136;30;80;65;42;2;176;327;15;144;404;65;80;68;7;22;22;7;1877
"C80   Neopl malig s/especificacao de localiz";18;18;47;9;69;4;21;60;61;153;92;71;225;46;24;284;856;105;664;1416;282;180;380;50;46;130;37;5348
"C81   Doenc de Hodgkin";2;4;6;-;10;-;3;6;6;15;6;5;17;1;3;33;59;7;49;108;24;20;33;5;7;17;9;455
"C82   Linfoma nao-Hodgkin folicular";-;2;4;2;2;1;-;5;2;1;6;1;7;1;1;19;22;4;9;33;17;12;15;-;2;1;2;171
"C83   Linfoma nao-Hodgkin difuso";14;2;6;3;21;1;4;34;16;55;17;15;21;11;5;59;121;20;61;188;86;73;106;17;10;35;16;1017
"C84   Linfomas de celulas T cutaneas e perifericas";2;-;3;1;3;-;4;7;7;10;2;3;10;3;2;24;28;7;36;53;24;9;28;2;2;7;4;281
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";6;5;20;10;39;5;10;32;24;96;48;70;109;22;17;135;269;50;272;736;178;116;273;35;34;76;35;2722
"C88   Doenc imunoproliferativas malignas";-;-;1;-;-;-;-;-;2;2;3;1;2;1;-;2;2;1;4;10;6;-;3;-;-;2;5;47
"C90   Mieloma mult e neopl malig de plasmocitos";12;5;16;7;52;6;10;57;42;130;50;56;99;35;34;218;429;73;335;941;229;112;227;40;35;101;56;3407
"C91   Leucemia linfoide";18;6;43;5;74;3;6;50;23;106;42;29;71;18;15;97;201;36;159;394;126;74;150;31;30;68;31;1906
"C92   Leucemia mieloide";27;14;29;2;68;4;22;67;39;120;69;58;106;33;19;171;358;65;274;812;227;120;262;46;40;118;53;3223
"C93   Leucemia monocitica";1;-;-;-;-;-;-;1;2;5;-;-;1;2;-;-;3;1;3;10;3;-;5;1;-;-;-;38
"C94   Outr leucemias de celulas de tipo espec";1;-;2;1;3;-;2;1;-;10;-;-;5;1;1;8;14;2;6;38;22;5;18;1;2;5;6;154
"C95   Leucemia de tipo celular NE";10;2;16;3;32;4;8;34;31;76;21;26;64;15;20;116;158;25;117;263;107;52;116;13;20;55;13;1417
"C96   Outr neopl mal e NE tec linf hematop e corr";2;1;2;-;-;3;2;8;3;8;4;7;11;4;2;9;15;4;4;34;12;4;13;4;1;9;-;166
"C97   Neopl malig de localiz mult independentes";-;-;-;-;1;-;1;3;2;4;2;-;1;2;-;6;9;1;1;11;8;1;-;-;3;1;-;57
"D00   Carcinoma in situ cav oral esofago estomago";-;-;-;-;1;-;-;5;2;3;-;3;1;1;-;1;5;1;-;13;-;1;2;1;1;1;-;42
"D01   Carcinoma in situ de outr orgaos digestivos";-;1;-;-;4;-;1;4;3;1;3;-;4;-;-;2;1;-;-;11;1;3;-;1;2;-;-;42
"D02   Carcinoma in situ ouvido medio e ap respirat";1;-;-;-;-;1;1;3;3;8;3;1;-;1;-;3;-;1;-;6;-;1;-;1;-;-;-;34
"D03   Melanoma in situ";-;-;-;-;-;-;-;-;-;2;-;-;1;1;2;-;3;-;1;1;1;1;3;-;1;-;-;17
"D04   Carcinoma in situ da pele";-;-;1;-;3;-;1;2;2;10;6;3;2;2;5;2;6;-;2;10;1;-;1;1;1;-;1;62
"D05   Carcinoma in situ da mama";-;-;-;-;1;-;-;1;-;7;1;1;-;1;-;3;1;-;4;3;1;5;1;-;1;-;1;32
"D06   Carcinoma in situ do colo do utero";-;1;1;-;1;-;-;4;-;1;1;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;1;13
"D07   Carcinoma in situ outr orgaos genitais e NE";-;-;1;-;2;-;-;3;-;1;2;-;2;-;1;2;-;1;1;5;1;2;-;-;-;1;-;25
"D09   Carcinoma in situ de outr localiz e das NE";-;-;-;-;3;-;1;2;1;2;-;1;1;1;-;1;1;-;2;9;1;2;-;-;-;-;-;28
"D10   Neopl benig da boca e da faringe";1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"D11   Neopl benig de gland salivares maiores";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"D12   Neopl benig do colon reto canal anal e anus";-;-;1;-;-;-;-;-;2;2;-;-;1;1;-;3;4;-;9;5;1;1;2;1;-;-;-;33
"D13   Neopl benig outr part e mal def ap digestivo";-;-;1;-;1;-;-;2;1;3;-;1;2;-;-;7;2;2;3;5;2;1;-;-;-;-;-;33
"D14   Neopl benig ouvido medio e aparelho respirat";-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;1;-;1;3;1;-;-;2;-;1;-;1;14
"D15   Neopl benig outr orgaos intratoracicos e NE";-;-;1;-;-;-;-;1;-;3;2;-;-;-;-;3;1;-;3;6;1;-;-;1;-;1;-;23
"D16   Neopl benig de osso e cartilagem articular";1;-;-;-;1;-;-;1;-;1;-;1;-;1;-;-;1;-;3;4;1;-;1;-;-;1;-;17
"D17   Neopl lipomatosa benig";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;1;-;6
"D18   Hemangioma e linfangioma de qualquer localiz";-;-;-;1;1;-;-;2;1;2;2;1;4;1;1;3;10;1;7;14;2;1;2;1;-;-;-;57
"D19   Neopl benig de tec mesotelial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;5
"D21   Outr neopl benig tec conj e outr tec moles";-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;1;2;1;5;6;-;-;-;-;-;-;-;19
"D22   Nevos melanociticos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
"D23   Outr neopl benig da pele";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;4;1;1;-;-;-;-;-;10
"D24   Neopl benig da mama";1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"D25   Leiomioma do utero";1;-;2;1;1;1;1;1;-;2;5;-;6;3;2;4;6;1;13;6;5;2;1;1;-;5;2;72
"D26   Outr neopl benig do utero";-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;2;-;-;1;1;-;-;-;-;-;-;7
"D27   Neopl benig do ovario";-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;1;7;-;-;-;1;1;-;-;13
"D29   Neopl benig dos orgaos genitais masc";-;-;1;-;1;-;-;3;6;4;3;2;-;-;-;-;3;-;2;7;-;3;2;-;-;2;2;41
"D30   Neopl benig dos orgaos urinarios";-;-;-;-;2;-;-;1;-;2;-;-;1;-;-;1;-;-;-;1;-;1;1;-;-;-;-;10
"D32   Neopl benig das meninges";3;-;-;-;2;1;1;5;2;15;3;3;17;-;2;17;30;3;23;82;10;4;9;3;5;8;8;256
"D33   Neopl benig encef e out part sist nerv centr";-;-;2;-;4;-;-;3;2;-;4;2;1;1;-;1;6;1;3;22;3;1;7;2;-;2;-;67
"D34   Neopl benig da gland tireoide";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"D35   Neopl benig de outr gland endocrinas e NE";2;-;-;-;3;-;1;1;3;5;-;1;2;1;-;6;12;-;8;17;2;2;1;-;-;3;2;72
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;4;4;1;1;4;-;-;1;-;-;1;-;19
"D37   Neopl comp incerto/desc cav oral e org dig";-;2;6;-;21;2;2;12;9;17;20;10;10;12;3;25;88;6;6;86;16;4;9;5;5;6;7;389
"D38   Neopl comp inc/desc ouv med org resp intrat";4;3;8;-;24;-;6;10;9;24;10;9;6;2;4;18;41;2;14;105;12;10;15;2;1;2;3;344
"D39   Neopl comp incerto/desconh org genitais fem";1;1;-;-;4;-;-;5;1;4;3;4;5;-;1;12;15;-;4;27;4;2;7;-;-;2;-;102
"D40   Neopl comp incerto/desconh org genitais masc";1;-;4;-;10;-;-;3;5;13;2;5;2;2;-;6;19;-;5;18;1;1;3;2;6;-;2;110
"D41   Neopl comp incerto/desconh orgaos urinarios";1;-;2;-;7;1;2;5;1;6;6;1;4;3;3;7;15;3;5;23;-;6;5;2;2;1;3;114
"D42   Neopl comp incerto/desconhecido meninges";-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;3;1;1;1;-;1;-;1;12
"D43   Neopl comp inc/desc encefalo sist nerv centr";2;-;1;-;15;1;4;5;5;19;8;1;3;7;2;16;57;7;14;82;11;11;27;6;3;6;4;317
"D44   Neopl comp incerto/desconh gland endocrinas";-;-;1;-;-;1;2;2;5;3;-;2;6;2;-;1;10;2;4;9;7;5;3;1;4;-;1;71
"D45   Policitemia vera";-;-;2;-;-;-;-;2;2;3;4;-;3;1;-;6;7;2;7;11;3;3;3;-;1;-;-;60
"D46   Sindr mielodisplasicas";4;1;8;-;21;1;4;21;17;21;10;22;27;9;8;55;132;28;118;250;69;50;86;6;7;22;13;1010
"D47   Out neop comp inc/des tec linf hemat tec cor";1;1;2;1;8;-;1;5;3;18;10;13;26;6;5;36;58;14;41;123;13;17;22;5;1;9;11;450
"D48   Neopl comp inc/desconh outr localiz e NE";-;-;5;-;23;-;2;11;6;21;9;8;9;5;3;35;49;11;34;98;13;27;20;5;5;3;6;408
"D50   Anemia p/defic de ferro";8;5;1;2;33;1;4;24;9;39;10;19;15;7;1;41;38;6;16;61;16;14;16;7;11;10;1;415
"D51   Anemia p/defic de vitamina B12";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;5;-;-;2;-;-;-;-;11
"D52   Anemia p/defic de folato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"D53   Outr anemias nutricionais";-;3;9;2;5;-;2;5;2;16;8;1;13;6;2;23;43;2;32;39;5;2;18;1;4;7;2;252
"D55   Anemia dev transt enzimaticos";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;6
"D56   Talassemia";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;2;8;1;1;1;-;-;-;1;19
"D57   Transt falciformes";3;2;10;1;16;2;9;17;15;9;1;4;17;3;4;74;49;8;47;75;9;3;9;5;11;19;11;433
"D58   Outr anemias hemoliticas hereditarias";1;1;1;-;3;1;1;2;1;7;1;2;5;-;-;4;13;1;13;14;1;3;6;-;1;1;-;83
"D59   Anemia hemolitica adquir";1;-;8;1;18;1;1;12;3;20;8;7;12;2;1;23;16;4;15;38;9;6;7;1;2;5;3;224
"D60   Aplasia pura da serie vermelha adquir";-;-;-;-;4;-;-;-;-;2;-;-;-;2;1;5;6;1;-;7;3;4;1;2;-;-;-;38
"D61   Outr anemias aplasticas";2;1;18;3;31;2;3;29;15;28;23;11;36;4;9;68;102;14;95;183;52;20;47;9;12;19;8;844
"D62   Anemia aguda pos-hemorragica";1;-;-;-;2;1;-;13;1;3;1;2;2;-;-;5;10;-;14;9;5;2;4;1;2;-;2;80
"D64   Outr anemias";15;16;32;7;77;2;5;60;33;70;45;41;81;31;20;173;252;16;491;300;72;33;64;13;27;52;1;2029
"D65   Coagulacao intravascular disseminada";-;1;6;2;11;-;1;5;5;5;4;7;6;1;2;12;14;2;10;52;6;4;5;4;5;11;6;187
"D66   Defic hereditaria do fator VIII";1;1;-;-;-;-;-;2;-;2;-;-;1;1;-;2;3;1;-;2;3;-;-;2;-;-;-;21
"D67   Defic hereditaria do fator IX";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"D68   Outr defeitos da coagulacao";5;1;2;-;19;1;2;17;9;37;7;7;48;4;6;60;97;14;33;188;25;28;21;12;12;22;13;690
"D69   Purpura e outr afeccoes hemorragicas";2;1;10;3;20;1;1;11;9;17;7;7;23;8;7;40;43;13;62;110;24;14;21;8;5;8;7;482
"D70   Agranulocitose";1;-;4;-;2;-;-;1;1;6;1;2;13;3;-;10;32;4;21;31;13;6;8;2;2;5;3;171
"D71   Transt func neutrofilos polimorfonucleares";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;1;3;-;-;5;-;2;-;-;-;-;-;16
"D72   Outr transt dos globulos brancos";-;-;-;1;1;-;-;3;2;7;3;-;1;2;2;9;8;-;2;12;5;2;10;1;-;-;2;73
"D73   Doenc do baco";-;-;-;-;1;-;-;-;-;-;1;2;1;1;-;4;8;3;9;18;1;3;1;-;-;4;-;57
"D74   Metemoglobinemia";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"D75   Outr doenc sangue e orgaos hematopoeticos";2;-;7;-;6;-;-;7;3;6;2;1;9;1;2;16;24;2;46;39;7;4;8;1;8;2;1;204
"D76   Alg doenc q env tec linforr e sist reticuloh";-;-;-;-;1;-;2;6;1;4;3;-;4;-;1;3;12;1;15;14;5;5;3;-;2;1;1;84
"D80   Imunodefic c/predom defeitos anticorpos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;1;2;1;-;1;-;1;-;2;12
"D81   Defic imunitarias combinadas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;1;6
"D82   Imunodeficiencia assoc c/outr defeitos major";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;4;1;-;-;-;-;-;-;8
"D83   Imunodeficiencia comum variavel";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;5
"D84   Outr imunodeficiencias";-;-;2;-;3;-;-;2;1;7;2;1;4;-;-;8;9;1;5;19;6;5;2;2;-;2;1;82
"D86   Sarcoidose";-;-;-;-;2;-;-;-;-;2;-;1;3;-;-;4;4;-;3;12;2;2;3;-;2;-;3;43
"D89   Outr transt q comprom mecanismo imunit NCOP";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;2;2;4;-;2;-;-;-;1;16
"E00   Sindr de defic congen de iodo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"E01   Transt tireoid e afecc assoc rel defic iodo";-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"E02   Hipotireoidismo subclinico p/defic de iodo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"E03   Outr hipotireoidismos";5;1;4;-;7;-;1;5;4;13;5;7;10;3;3;23;140;8;65;194;69;35;76;3;1;25;10;717
"E04   Outr bocios nao-toxicos";1;-;-;-;3;-;2;-;-;-;1;1;-;1;-;5;4;-;6;10;1;2;-;1;1;1;-;40
"E05   Tireotoxicose";2;-;4;1;6;4;2;6;2;7;2;1;2;4;2;12;22;1;12;35;16;2;13;5;5;5;4;177
"E06   Tireoidite";-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;2;1;-;1;2;3;-;-;-;-;1;-;14
"E07   Outr transt da tireoide";-;-;-;1;1;-;1;2;-;4;-;1;4;1;-;5;5;1;4;13;3;5;2;-;-;2;-;55
"E10   Diabetes mellitus insulino-dependente";79;16;51;8;341;18;72;297;74;347;130;188;190;94;41;369;618;97;297;1269;484;363;826;73;96;159;90;6687
"E11   Diabetes mellitus nao-insulino-dependemte";171;37;251;30;748;27;159;700;202;729;238;303;633;298;172;1210;810;288;823;1939;756;518;1475;196;212;453;318;13696
"E12   Diabetes mellitus relac c/a desnutr";3;5;9;1;34;-;2;29;8;17;6;15;25;26;7;47;32;10;21;59;20;11;12;3;9;13;2;426
"E13   Outr tipos espec de diabetes mellitus";2;-;-;20;26;-;-;17;-;12;4;10;13;9;-;13;28;1;1;45;15;3;10;-;6;-;-;235
"E14   Diabetes mellitus NE";310;115;928;69;1624;174;375;2080;1064;1451;1022;1491;4056;1377;602;4732;5074;1114;6343;10940;2868;1169;2921;298;825;1455;191;54668
"E15   Coma hipoglicemico nao-diabetico";1;-;-;-;3;-;-;10;-;2;-;1;-;-;1;4;4;1;1;5;1;-;-;1;-;1;-;36
"E16   Outr transt da secrecao pancreatica interna";1;2;8;-;22;-;7;29;17;21;7;16;13;3;7;48;72;4;58;86;12;6;10;5;7;14;3;478
"E20   Hipoparatireoidismo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;2;-;-;-;-;-;6
"E21   Hiperparatireoid e out transt gland paratir";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;2;-;2;1;3;-;-;-;1;1;-;13
"E22   Hiperfuncao da hipofise";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;1;1;-;1;-;-;-;-;-;9
"E23   Hipofuncao e outr transt da hipofise";-;-;1;-;1;-;2;2;1;-;1;-;-;-;-;3;4;-;4;8;3;2;4;-;2;1;1;40
"E24   Sindr de Cushing";1;-;-;-;-;-;-;2;-;-;1;-;3;-;-;2;1;2;4;3;-;2;1;-;-;1;-;23
"E25   Transt adrenogenitais";-;-;-;-;-;-;-;-;-;-;1;1;2;1;-;-;-;-;-;-;-;2;-;-;-;-;-;7
"E26   Hiperaldosteronismo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;4;-;-;2;-;1;-;-;11
"E27   Outr transt da gland supra-renal";-;-;-;-;2;-;-;2;-;4;2;-;-;1;-;3;3;-;4;13;7;-;1;-;1;-;-;43
"E28   Disfuncao ovariana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"E30   Transt da puberdade NCOP";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3
"E31   Disfuncao poliglandular";-;-;-;1;1;-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;8
"E32   Doenc do timo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;4
"E34   Outr transt endocrinos";-;-;-;-;-;-;-;-;1;3;-;1;3;-;-;2;5;1;2;3;4;1;3;-;1;-;-;30
"E40   Kwashiorkor";-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;3;-;2;3;-;1;-;-;-;-;-;13
"E41   Marasmo nutricional";-;-;1;-;36;-;1;3;-;9;4;14;6;3;3;30;19;3;39;67;11;3;6;13;2;15;1;289
"E42   Kwashiorkor marasmatico";-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;1;-;-;2;1;2;1;-;-;-;-;-;11
"E43   Desnutric proteico-calorica grave NE";14;16;61;18;99;4;13;72;31;76;35;49;74;23;5;161;183;10;52;190;62;29;85;27;35;46;1;1471
"E44   Desnutric proteico-calorica grau moder leve";4;-;6;-;23;-;4;40;9;50;16;45;27;18;2;32;50;4;1;88;25;16;31;14;10;11;-;526
"E45   Atraso desenv dev desnutric proteico-caloric";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"E46   Desnutric proteico-calorica NE";8;8;37;2;98;-;10;54;31;74;65;84;209;70;22;314;301;50;199;328;78;21;127;46;48;63;2;2349
"E50   Defic de vitamina A";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;4;1;-;1;1;1;-;1;-;-;2;-;13
"E51   Defic de tiamina";-;-;1;-;2;-;-;2;-;-;1;1;1;-;1;3;4;-;3;7;3;1;3;-;-;4;1;38
"E52   Defic de niacina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;3
"E53   Defic de outr vitaminas do grupo B";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;5
"E55   Defic de vitamina D";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;4
"E56   Outr defic vitaminicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"E58   Defic de calcio da dieta";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E61   Defic de outr elementos nutrientes";-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;3;-;-;-;-;-;1;-;-;-;-;9
"E63   Outr defic nutricionais";1;-;-;-;-;-;-;1;2;-;3;1;1;-;-;3;-;-;1;4;1;-;1;-;1;-;-;20
"E64   Sequelas desnutric e outr defic nutricionais";-;-;-;-;3;-;2;3;1;3;1;4;2;3;1;4;3;-;1;18;4;2;2;-;-;1;1;59
"E65   Adiposidade localizada";-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5
"E66   Obesidade";24;6;63;3;77;7;20;54;34;84;40;89;299;44;24;214;378;94;369;999;218;127;310;40;74;122;53;3866
"E67   Outr form de hiperalimentacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;1;1;1;1;-;1;-;-;11
"E70   Disturbios metabolism aminoacidos aromaticos";-;-;-;-;-;-;-;-;-;4;-;-;1;1;1;1;1;-;1;2;-;-;1;-;-;-;-;13
"E71   Dist metab aminoacidos cad ramif e acid grax";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;2;-;-;2;-;1;1;-;12
"E72   Outr disturbios metabolismo de aminoacidos";-;-;1;-;1;-;1;2;1;1;2;2;1;1;1;2;5;1;5;18;2;-;5;-;1;1;1;55
"E73   Intolerancia a lactose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3
"E74   Outr disturbios do metabolismo carboidratos";-;-;1;-;-;-;1;1;-;-;-;-;3;-;-;2;2;1;3;4;-;-;1;-;-;3;-;22
"E75   Disturb metab esfingolip e outr depos lipid";-;1;1;-;2;-;-;-;2;5;-;-;2;-;-;5;11;1;5;16;2;2;1;-;1;2;2;61
"E76   Disturbios metabolismo do glicosaminoglicano";-;-;-;-;1;-;-;1;-;2;-;2;2;2;-;1;8;1;-;3;3;-;2;-;-;-;-;28
"E77   Disturbios do metabolismo de glicoproteinas";-;-;-;-;2;-;-;-;-;-;-;2;1;-;-;1;4;-;-;3;-;1;1;-;-;-;-;15
"E78   Disturbios metab lipoproteinas e out lipidem";11;-;12;1;17;1;8;60;30;66;37;28;50;19;41;136;173;16;91;419;137;87;126;28;19;73;51;1737
"E79   Disturbios metabolismo purina e pirimidina";-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;2;1;1;4;-;2;3;-;-;1;-;17
"E80   Disturbios metab porfirina e bilirrubina";-;-;-;-;-;-;1;1;-;1;1;1;1;1;-;2;3;1;2;8;5;2;1;1;1;1;1;35
"E83   Disturbios do metabolismo de minerais";1;2;1;-;-;1;1;4;2;11;4;6;2;4;1;18;16;1;11;42;9;8;5;2;-;4;2;158
"E84   Fibrose cistica";1;-;3;-;11;-;6;8;6;12;1;9;5;4;1;15;28;5;13;39;14;12;21;2;1;7;-;224
"E85   Amiloidose";2;-;1;-;3;-;1;1;-;4;3;1;4;3;-;15;18;1;19;47;11;8;15;2;1;3;4;167
"E86   Deplecao de volume";3;1;11;3;34;-;5;22;23;37;14;24;47;12;6;93;177;10;164;309;28;9;27;25;15;32;4;1135
"E87   Outr transt equil hidroeletr e acido-basic";13;15;39;8;62;5;12;84;37;139;31;101;122;29;27;151;229;22;261;529;75;38;74;40;48;46;14;2251
"E88   Outr disturbios metabolicos";9;1;5;-;28;-;4;13;6;40;35;19;28;57;8;27;56;5;48;180;24;13;16;6;19;32;2;681
"F00   Demencia na doenc de Alzheimer";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F01   Demencia vascular";1;-;2;-;6;-;-;3;-;21;6;2;3;-;2;8;63;-;24;123;8;10;5;3;2;3;22;317
"F03   Demencia NE";12;1;1;-;51;2;10;26;1;235;36;15;44;-;49;42;565;-;280;1011;25;24;39;-;4;11;70;2554
"F05   Delirium nao induz alcool outr subst psicoat";-;-;-;-;3;-;1;-;-;8;1;2;11;-;-;4;13;-;2;30;5;1;-;-;-;-;1;82
"F06   Outr transt ment lesao disf cereb doenc fis";-;-;-;-;1;-;-;-;-;1;-;1;1;-;-;-;4;-;1;2;3;-;1;-;-;1;-;16
"F07   Transt pers comport dev doen lesao disf cer";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;4
"F09   Transt mental organico ou sintomatico NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;1;-;-;6
"F10   Transt mentais comport dev uso alcool";14;12;63;7;95;16;92;181;151;386;129;128;793;185;187;901;1369;193;396;1199;635;185;487;56;152;361;157;8530
"F11   Transt mentais e comport dev uso de opiaceos";1;-;-;-;-;-;-;3;1;-;-;1;-;-;-;-;-;-;-;1;3;-;2;-;-;-;-;12
"F12   Transt mentais comport dev uso canabinoides";-;-;-;-;2;-;-;2;-;1;-;-;-;-;1;-;7;-;1;4;2;2;1;-;-;1;2;26
"F13   Transt mentais comport dev uso sedat hipnot";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;1;-;1;1;2;-;1;-;-;-;-;10
"F14   Transt mentais e comport dev uso da cocaina";-;1;-;-;1;-;-;3;3;1;1;1;-;1;2;19;48;1;16;52;21;6;23;-;2;1;15;218
"F15   Transt ment comp uso outr estim incl cafeina";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4;-;-;2;1;-;1;-;-;1;-;11
