Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
D84   Outr imunodeficiencias;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;1;1;1;3;6;4;-;2;-;-;-;1;23
D86   Sarcoidose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
E03   Outr hipotireoidismos;-;-;-;-;1;-;-;2;-;1;-;-;1;-;1;-;-;1;-;2;-;-;-;-;-;-;-;9
E04   Outr bocios nao-toxicos;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E05   Tireotoxicose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
E10   Diabetes mellitus insulino-dependente;-;-;-;-;2;-;2;5;-;2;1;1;3;2;3;12;6;-;2;8;3;-;2;1;-;3;-;58
E11   Diabetes mellitus nao-insulino-dependemte;-;1;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;1;10
E12   Diabetes mellitus relac c/a desnutr;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
E13   Outr tipos espec de diabetes mellitus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
E14   Diabetes mellitus NE;3;1;-;-;8;4;3;2;1;2;2;4;3;5;-;5;13;2;23;17;5;2;4;3;2;3;-;117
E16   Outr transt da secrecao pancreatica interna;-;-;1;-;-;-;-;1;2;-;-;-;1;-;1;-;3;-;-;1;-;1;-;1;1;-;-;13
E22   Hiperfuncao da hipofise;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
E23   Hipofuncao e outr transt da hipofise;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;2;-;1;6
E24   Sindr de Cushing;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;4
E25   Transt adrenogenitais;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;2;1;-;-;3;-;-;-;-;1;-;-;10
E26   Hiperaldosteronismo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
E27   Outr transt da gland supra-renal;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
E31   Disfuncao poliglandular;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
E34   Outr transt endocrinos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
E40   Kwashiorkor;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
E41   Marasmo nutricional;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
E42   Kwashiorkor marasmatico;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
E43   Desnutric proteico-calorica grave NE;1;7;20;19;15;4;2;10;3;5;-;3;9;2;-;15;4;-;4;8;2;3;2;1;6;2;2;149
E44   Desnutric proteico-calorica grau moder leve;2;-;-;-;3;1;-;2;-;1;-;-;1;-;-;3;1;-;-;2;2;-;-;-;-;-;-;18
E45   Atraso desenv dev desnutric proteico-caloric;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E46   Desnutric proteico-calorica NE;-;2;15;-;6;-;2;1;2;1;-;2;8;5;1;9;5;1;14;10;1;-;-;1;5;3;-;94
E55   Defic de vitamina D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
E64   Sequelas desnutric e outr defic nutricionais;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
E66   Obesidade;-;-;1;-;1;-;-;-;-;1;-;2;2;1;-;1;1;1;1;7;1;2;-;1;1;-;-;24
E70   Disturbios metabolism aminoacidos aromaticos;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
E71   Dist metab aminoacidos cad ramif e acid grax;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;2;1;-;1;3;1;-;-;-;-;2;1;15
E72   Outr disturbios metabolismo de aminoacidos;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;2;-;-;5;-;2;4;-;-;-;2;20
E73   Intolerancia a lactose;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E74   Outr disturbios do metabolismo carboidratos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;5;1;-;1;-;-;-;1;11
E75   Disturb metab esfingolip e outr depos lipid;-;-;1;-;1;-;1;-;1;1;-;2;3;1;2;1;6;2;-;13;2;2;6;3;1;5;1;55
E76   Disturbios metabolismo do glicosaminoglicano;-;-;2;-;-;1;-;-;-;2;2;-;1;-;-;-;2;-;-;-;2;1;1;-;1;-;-;15
E77   Disturbios do metabolismo de glicoproteinas;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
E78   Disturbios metab lipoproteinas e out lipidem;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E80   Disturbios metab porfirina e bilirrubina;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3
E83   Disturbios do metabolismo de minerais;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;1;1;-;-;-;-;-;7
E84   Fibrose cistica;-;-;1;-;1;-;-;2;-;5;-;2;3;-;1;3;4;2;7;15;6;3;1;1;2;3;1;63
E85   Amiloidose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
E86   Deplecao de volume;-;-;-;-;1;-;-;3;1;1;2;1;3;2;-;4;2;-;3;5;4;-;-;1;1;-;-;34
E87   Outr transt equil hidroeletr e acido-basic;2;5;1;1;6;-;2;7;3;5;-;2;3;2;-;8;7;-;3;17;5;1;1;2;3;1;-;87
E88   Outr disturbios metabolicos;1;1;2;-;2;-;-;1;2;2;1;1;1;1;-;3;5;1;2;8;7;1;1;1;-;2;-;46
F10   Transt mentais comport dev uso alcool;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;-;-;1;1;-;-;-;-;1;-;-;9
F12   Transt mentais comport dev uso canabinoides;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
F14   Transt mentais e comport dev uso da cocaina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;2;-;1;6
F16   Transt mentais comport dev uso alucinogenos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
F17   Transt mentais e comport dev uso de fumo;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
F18   Transt mentais comport dev uso solv volateis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
F19   Transt ment comp mult drog out subst psicoat;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;6;5;-;-;-;-;1;3;-;20
F20   Esquizofrenia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
F32   Episodios depressivos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;4
F33   Transt depressivo recorrente;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
F41   Outr transt ansiosos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
F50   Transt da alimentacao;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
F71   Retardo mental moderado;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
F72   Retardo mental grave;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
F84   Transt globais do desenvolv;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;2;1;1;2;5;2;1;1;-;1;-;-;19
F89   Transt do desenvolv psicologico NE;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
F90   Transt hipercineticos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
F99   Transt mental NE em outr parte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
G00   Meningite bacter NCOP;-;1;1;-;2;-;2;4;-;3;4;1;3;1;1;4;5;4;3;26;4;7;4;1;3;4;2;90
G03   Meningite dev outr causas e a causas NE;-;-;5;1;2;1;-;1;1;3;1;-;1;3;1;5;2;2;4;16;3;-;2;1;-;2;1;58
G04   Encefalite mielite e encefalomielite;-;1;3;3;10;1;-;5;3;9;-;3;3;2;-;4;7;2;6;10;2;2;1;-;2;4;1;84
G06   Abscesso granuloma intracran intra-raquid;-;-;-;-;-;-;-;2;1;1;-;1;1;-;-;1;1;2;2;1;-;-;1;1;-;-;1;16
G09   Sequelas doenc inflam sist nerv centr;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;2;6;-;-;-;-;-;-;-;12
G10   Doenc de Huntington;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G11   Ataxia hereditaria;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;1;1;-;8
G12   Atrofia muscular espinal e sindr correlatas;-;1;-;-;3;1;-;2;1;4;1;1;2;-;-;2;2;-;3;13;3;2;2;3;3;2;-;51
G21   Parkinsonismo secund;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
G23   Outr doenc degenerativas dos ganglios base;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
G24   Distonia;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
G25   Outr doenc extrapiramidais transt movimentos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
G31   Outr doenc degenerativas sist nervoso NCOP;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;1;2;2;1;8;1;1;2;-;-;-;-;21
G35   Esclerose mult;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G36   Outr desmielinizacoes disseminadas agudas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
G37   Outr doenc desmielinizantes sist nerv centr;-;-;-;-;1;-;-;-;-;2;-;-;-;-;1;-;1;-;-;2;-;-;1;-;-;-;-;8
G40   Epilepsia;1;3;16;2;22;2;3;11;7;17;-;5;22;8;4;20;24;15;18;47;15;8;25;5;7;10;6;323
G41   Estado de mal epileptico;-;1;5;-;-;-;-;1;2;-;-;-;5;2;-;5;6;1;1;12;3;4;2;2;1;5;-;58
G47   Disturbios do sono;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
G52   Transt de outr nervos cranianos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
G58   Outr mononeuropatias;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;4;-;-;-;-;-;-;-;-;8
G60   Neuropatia hereditaria e idiopatica;-;-;2;2;2;-;-;2;-;-;-;1;-;-;-;5;2;2;1;2;1;-;1;-;1;-;-;24
G61   Polineuropatia inflam;1;-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;7
G62   Outr polineuropatias;1;-;5;-;5;-;-;-;4;2;-;2;-;-;-;4;-;1;12;5;-;-;-;-;2;1;-;44
G70   Miastenia gravis outr transt neuromusculares;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;1;-;2;3;1;-;1;-;-;-;-;12
G71   Transt prim dos musculos;1;-;1;-;3;1;1;2;-;7;4;2;5;-;2;7;15;2;6;17;9;9;4;2;-;2;-;102
G72   Outr miopatias;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;4
G80   Paralisia cerebral;4;5;18;2;26;1;8;29;13;19;10;9;32;12;7;39;73;8;19;97;46;20;36;17;3;16;11;580
G81   Hemiplegia;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G82   Paraplegia e tetraplegia;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
G83   Outr sindr paraliticas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
G90   Transt do sist nervoso autonomo;-;-;1;-;2;-;-;2;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;9
G91   Hidrocefalia;4;2;2;2;17;2;4;9;12;13;7;7;10;6;7;21;18;4;18;37;19;1;5;4;3;12;4;250
G92   Encefalopatia toxica;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
G93   Outr transt do encefalo;1;3;5;2;13;-;1;19;6;24;3;4;15;5;6;20;23;12;29;71;15;8;6;4;4;15;5;319
G95   Outr doenc da medula espinal;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4
G96   Outr transt do sist nervoso central;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;1;2;1;-;2;1;1;1;-;-;-;-;13
G98   Outr transt do sist nervoso NCOP;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;4
H35   Outr transt da retina;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
H57   Outr transt do olho e anexos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
H60   Otite externa;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
H66   Otite media supurativa e as NE;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;4;-;1;3;-;-;-;1;1;-;-;14
H70   Mastoidite e afeccoes correlatas;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
I00   Febre reumatica s/mencao de compr do coracao;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
I01   Febre reumatica c/compr do coracao;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;1;-;1;1;-;-;-;1;1;-;-;-;9
I05   Doenc reumaticas da valva mitral;-;-;-;-;1;1;1;-;-;1;-;1;-;-;-;1;1;-;1;4;1;-;-;-;-;-;-;13
I06   Doenc reumaticas da valva aortica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
I07   Doenc reumaticas da valva tricuspide;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I08   Doenc de mult valvas;-;-;-;-;-;-;1;1;1;-;-;-;2;-;-;-;1;-;-;2;-;-;-;-;-;1;-;9
I09   Outr doenc reumaticas do coracao;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;4;1;-;-;-;-;-;-;1;-;-;-;10
I10   Hipertensao essencial;-;-;1;-;1;-;1;-;-;1;-;3;1;-;-;1;2;-;1;2;1;1;-;-;-;1;-;17
I11   Doenc cardiaca hipertensiva;-;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;2;-;2;-;-;-;-;-;-;-;9
I12   Doenc renal hipertensiva;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;2;-;-;-;-;-;-;-;8
I13   Doenc cardiaca e renal hipertensiva;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
I21   Infarto agudo do miocardio;-;2;1;-;10;-;1;19;5;4;4;2;4;1;1;8;3;-;12;41;1;1;1;1;2;6;-;130
I24   Outr doenc isquemicas agudas do coracao;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;5
I25   Doenc isquemica cronica do coracao;-;-;1;-;2;-;-;1;-;1;-;-;-;1;-;1;-;1;6;5;-;-;1;-;-;-;-;20
I26   Embolia pulmonar;1;-;1;-;1;-;-;1;1;-;-;2;1;-;-;1;3;2;4;23;1;2;-;1;-;6;-;51
I27   Outr form de doenc cardiaca pulmonar;-;-;3;2;6;-;-;-;2;7;1;-;2;-;2;12;3;1;13;19;4;1;3;-;-;2;1;84
I28   Outr doenc dos vasos pulmonares;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I30   Pericardite aguda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
I31   Outr doenc do pericardio;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;1;-;4;2;1;1;-;-;-;1;-;15
I33   Endocardite aguda e subaguda;-;-;-;-;3;-;-;-;1;3;1;1;3;1;1;5;1;-;1;5;1;-;1;-;-;-;-;28
I34   Transt nao-reumaticos da valva mitral;-;-;-;-;3;-;1;-;-;2;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
I35   Transt nao-reumaticos da valva aortica;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;2;-;-;4;-;1;-;1;-;-;-;12
I37   Transt da valva pulmonar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
I38   Endocardite de valva NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;-;-;-;1;-;-;7
I40   Miocardite aguda;-;-;1;1;-;-;-;2;1;2;-;-;1;1;-;2;1;-;2;6;1;1;1;1;2;-;1;27
I42   Cardiomiopatias;1;2;4;4;3;-;2;8;4;8;1;4;7;4;2;13;11;7;24;49;8;6;8;1;1;7;7;196
I44   Bloqueio atrioventricular e do ramo esquerdo;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;4
I45   Outr transt de conducao;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I46   Parada cardiaca;-;-;-;1;4;-;-;4;-;3;-;1;-;-;-;-;2;-;-;1;-;1;-;1;-;2;-;20
I47   Taquicardia paroxistica;-;-;1;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;1;2;-;-;-;-;-;2;-;10
I48   Flutter e fibrilacao atrial;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I49   Outr arritmias cardiacas;-;-;-;-;1;-;-;2;2;-;-;2;-;-;-;1;2;-;5;7;3;1;-;-;1;3;-;30
I50   Insuf cardiaca;-;2;1;-;6;1;2;8;-;2;3;-;2;3;-;11;7;-;5;16;5;1;5;-;-;3;1;84
I51   Complic cardiopatias doenc cardiacas mal def;2;1;3;1;3;-;-;3;-;1;-;-;5;3;1;7;5;1;9;15;1;1;1;3;1;2;-;69
I60   Hemorragia subaracnoide;1;-;-;-;1;-;-;3;2;4;2;-;2;-;-;4;2;3;2;9;2;1;4;1;1;-;-;44
I61   Hemorragia intracerebral;-;2;4;-;7;1;1;7;1;6;3;6;6;-;-;9;12;-;8;16;4;-;10;3;3;7;3;119
I62   Outr hemorragias intracranianas nao-traum;-;-;-;-;1;1;-;-;1;2;-;-;1;-;-;3;1;-;3;5;2;1;-;-;-;3;2;26
I63   Infarto cerebral;-;-;-;-;-;-;1;1;-;1;2;-;1;-;-;2;1;2;1;7;2;2;-;-;1;-;1;25
I64   Acid vasc cerebr NE como hemorrag isquemico;1;-;1;-;5;-;-;1;-;3;1;-;-;2;-;5;1;-;1;3;2;1;-;-;1;1;-;29
I67   Outr doenc cerebrovasculares;-;-;2;-;2;-;-;-;3;5;1;2;3;2;2;3;8;-;7;5;-;1;-;-;1;3;-;50
I69   Sequelas de doenc cerebrovasculares;-;-;2;-;1;-;-;2;-;2;-;-;1;-;-;-;2;-;1;2;-;-;-;2;1;1;-;17
I71   Aneurisma e disseccao da aorta;-;-;-;-;2;-;-;1;-;2;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;1;-;9
I72   Outr aneurismas;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;4
I73   Outr doenc vasculares perifericas;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
I74   Embolia e trombose arteriais;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
I77   Outr afeccoes das arterias e arteriolas;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
I78   Doenc dos capilares;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
I80   Flebite e tromboflebite;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;8
I81   Trombose da veia porta;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
I82   Outr embolia e trombose venosas;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;2;-;1;1;-;1;-;-;1;-;10
I85   Varizes esofagianas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
I88   Linfadenite inespecifica;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I89   Outr transt nao-infecc vasos linf gangl linf;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;1;-;1;-;1;-;-;-;-;1;1;9
I95   Hipotensao;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
J01   Sinusite aguda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
J03   Amigdalite aguda;-;-;-;-;1;1;2;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;9
J04   Laringite e traqueite agudas;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;1;1;1;4;-;-;-;-;-;2;1;14
J05   Laringite obstrutiva aguda e epiglotite;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;3
J06   Infecc agudas vias aereas super loc mult NE;-;-;1;-;4;-;-;2;1;-;-;1;2;-;-;2;2;-;-;3;1;-;-;1;1;-;1;22
J09   Influenza A (H1N1);3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;1;-;-;-;-;-;9
J10   Influenza dev outro virus influenza ident;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;1;3;2;-;-;-;-;1;-;11
J11   Influenza dev virus nao identificado;-;3;6;-;2;-;-;4;-;2;2;-;-;-;4;2;7;3;3;5;-;-;2;-;-;1;-;46
J12   Pneumonia viral NCOP;-;1;3;-;6;-;1;3;1;3;-;-;2;1;-;2;1;2;9;13;3;2;1;4;-;5;2;65
J13   Pneumonia dev Streptococcus pneumoniae;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
J14   Pneumonia dev Haemophilus infuenzae;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
J15   Pneumonia bacter NCOP;3;9;22;3;18;3;2;12;5;27;3;10;5;4;2;17;16;3;21;29;9;4;7;6;14;5;6;265
J16   Pneumonia dev out microorg infecc espec NCOP;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;5
J18   Pneumonia p/microorg NE;1;21;55;39;111;25;5;43;26;29;7;27;39;16;9;51;39;14;102;128;16;17;13;27;13;15;5;893
J20   Bronquite aguda;-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;1;1;1;2;6;-;1;-;2;3;-;-;21
J21   Bronquiolite aguda;1;2;5;1;2;-;-;3;-;2;-;-;9;3;2;5;12;4;36;65;5;8;16;5;1;4;6;197
J22   Infecc agudas NE das vias aereas infer;-;-;1;2;2;-;-;-;-;1;-;-;2;1;2;3;-;-;2;3;1;-;1;-;2;-;-;23
J32   Sinusite cronica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;3
J35   Doenc cronicas das amigdalas e das adenoides;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
J38   Doenc das cordas vocais e da laringe NCOP;-;1;1;-;1;-;-;-;-;-;-;1;1;-;-;1;2;-;-;1;-;-;-;-;-;-;-;9
J39   Outr doenc das vias aereas super;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;2;1;-;1;2;-;-;-;-;-;-;-;10
J40   Bronquite NE como aguda ou cronica;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;4
J42   Bronquite cronica NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;4
J43   Enfisema;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;6
J44   Outr doenc pulmonares obstrutivas cronicas;-;-;2;-;2;-;-;2;1;-;-;-;1;-;-;1;1;-;-;5;-;1;2;-;1;1;2;22
J45   Asma;-;-;-;-;2;-;-;1;-;3;1;-;7;-;-;5;7;2;8;16;6;5;5;2;2;2;-;74
J46   Estado de mal asmatico;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;5;1;-;1;-;-;-;-;11
J47   Bronquectasia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
J65   Pneumoconiose assoc c/tuberc;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
