Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
D70   Agranulocitose;-;-;1;-;1;-;-;-;-;2;2;1;1;1;-;1;5;-;4;4;3;1;1;-;-;-;-;28
D72   Outr transt dos globulos brancos;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
D75   Outr doenc sangue e orgaos hematopoeticos;-;-;1;-;-;-;-;-;1;-;2;-;1;-;-;1;1;-;2;-;-;1;1;-;-;1;-;12
D76   Alg doenc q env tec linforr e sist reticuloh;1;-;1;-;-;-;-;1;-;-;-;1;-;-;1;2;-;-;3;13;-;-;2;1;-;2;-;28
D81   Defic imunitarias combinadas;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;3;-;-;-;-;1;-;8
D82   Imunodeficiencia assoc c/outr defeitos major;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;2;7
D83   Imunodeficiencia comum variavel;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;3
D84   Outr imunodeficiencias;-;-;-;-;1;-;-;1;-;4;1;-;3;-;-;3;1;-;-;3;2;-;2;-;1;2;-;24
E00   Sindr de defic congen de iodo;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E03   Outr hipotireoidismos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;1;-;-;5
E05   Tireotoxicose;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;5
E10   Diabetes mellitus insulino-dependente;-;1;-;-;3;1;1;4;2;-;2;2;4;4;1;6;-;-;4;12;2;1;-;2;2;2;2;58
E11   Diabetes mellitus nao-insulino-dependemte;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;1;-;-;1;-;1;-;-;1;8
E12   Diabetes mellitus relac c/a desnutr;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E13   Outr tipos espec de diabetes mellitus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
E14   Diabetes mellitus NE;-;1;1;-;9;2;2;8;-;2;-;5;9;5;2;11;10;-;7;13;1;1;5;-;1;-;-;95
E16   Outr transt da secrecao pancreatica interna;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;1;2;-;-;2;-;-;1;-;-;1;-;11
E20   Hipoparatireoidismo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
E22   Hiperfuncao da hipofise;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
E23   Hipofuncao e outr transt da hipofise;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;5
E25   Transt adrenogenitais;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;3
E27   Outr transt da gland supra-renal;-;-;1;-;-;-;1;-;-;3;-;1;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;10
E32   Doenc do timo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
E34   Outr transt endocrinos;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
E40   Kwashiorkor;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
E41   Marasmo nutricional;-;-;-;-;3;1;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;8
E42   Kwashiorkor marasmatico;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
E43   Desnutric proteico-calorica grave NE;-;3;18;6;17;3;1;16;7;5;2;5;2;1;2;18;8;-;4;10;-;3;1;1;3;1;-;137
E44   Desnutric proteico-calorica grau moder leve;-;-;1;-;1;-;1;-;-;1;-;-;1;-;-;3;1;-;-;-;1;1;-;-;1;-;-;12
E45   Atraso desenv dev desnutric proteico-caloric;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
E46   Desnutric proteico-calorica NE;4;3;13;-;12;-;1;9;4;11;3;7;11;6;1;16;7;4;9;12;2;1;4;5;5;1;1;152
E55   Defic de vitamina D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
E56   Outr defic vitaminicas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
E63   Outr defic nutricionais;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;4
E64   Sequelas desnutric e outr defic nutricionais;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E66   Obesidade;-;-;-;-;-;-;1;1;-;1;-;-;1;1;-;3;2;-;1;2;-;1;1;-;-;-;1;16
E70   Disturbios metabolism aminoacidos aromaticos;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;2;1;-;-;-;-;-;-;7
E71   Dist metab aminoacidos cad ramif e acid grax;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;-;-;1;3;1;1;-;-;-;-;11
E72   Outr disturbios metabolismo de aminoacidos;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;4;2;-;1;-;-;-;1;12
E73   Intolerancia a lactose;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
E74   Outr disturbios do metabolismo carboidratos;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;5;2;2;1;-;1;-;1;17
E75   Disturb metab esfingolip e outr depos lipid;-;-;-;-;-;1;-;-;-;3;-;-;7;-;-;3;6;1;3;10;2;2;4;1;-;2;3;48
E76   Disturbios metabolismo do glicosaminoglicano;1;-;-;-;1;-;-;2;-;3;-;1;-;-;1;3;2;-;2;4;2;-;-;-;-;1;1;24
E78   Disturbios metab lipoproteinas e out lipidem;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;5
E80   Disturbios metab porfirina e bilirrubina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;3
E83   Disturbios do metabolismo de minerais;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;2;1;-;-;-;1;-;2;10
E84   Fibrose cistica;1;-;-;-;-;1;4;2;1;3;-;3;4;-;-;1;6;2;3;10;5;2;3;1;1;1;-;54
E85   Amiloidose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
E86   Deplecao de volume;-;-;3;1;3;-;-;7;2;3;2;1;3;-;2;3;2;-;8;5;2;-;-;2;3;-;2;54
E87   Outr transt equil hidroeletr e acido-basic;-;14;5;2;4;1;2;5;2;6;-;1;4;2;-;6;9;-;9;13;3;-;3;-;5;-;-;96
E88   Outr disturbios metabolicos;-;2;-;-;3;-;1;-;-;3;1;1;1;1;-;3;6;1;7;13;3;1;-;-;-;2;3;52
F05   Delirium nao induz alcool outr subst psicoat;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
F06   Outr transt ment lesao disf cereb doenc fis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
F10   Transt mentais comport dev uso alcool;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;5
F11   Transt mentais e comport dev uso de opiaceos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
F12   Transt mentais comport dev uso canabinoides;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
F14   Transt mentais e comport dev uso da cocaina;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;-;3;1;1;-;-;-;-;1;-;13
F16   Transt mentais comport dev uso alucinogenos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
F19   Transt ment comp mult drog out subst psicoat;-;-;-;-;1;-;-;2;-;-;-;-;-;-;1;-;4;-;8;3;1;-;1;-;-;-;1;22
F29   Psicose nao-organica NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
F32   Episodios depressivos;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;3
F33   Transt depressivo recorrente;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
F41   Outr transt ansiosos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
F44   Transt dissociativos;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
F72   Retardo mental grave;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
F73   Retardo mental profundo;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
F79   Retardo mental NE;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;2;-;-;2;-;-;-;-;9
F83   Transt especificos misto do desenvolv;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
F84   Transt globais do desenvolv;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;1;-;-;-;-;5
F89   Transt do desenvolv psicologico NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
F90   Transt hipercineticos;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
F93   Transt emocionais c/inicio especif infancia;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
F99   Transt mental NE em outr parte;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G00   Meningite bacter NCOP;-;1;3;2;9;-;-;6;1;11;3;1;6;3;1;7;12;2;11;58;15;4;6;3;2;8;2;177
G03   Meningite dev outr causas e a causas NE;-;1;2;-;3;-;-;4;5;2;1;2;6;2;-;10;4;2;5;10;2;1;4;3;-;1;1;71
G04   Encefalite mielite e encefalomielite;2;1;-;2;4;4;-;7;9;6;2;2;6;2;2;8;5;1;10;24;4;6;1;1;2;1;-;112
G06   Abscesso granuloma intracran intra-raquid;1;-;-;-;-;-;-;-;1;1;-;1;-;1;-;2;-;-;-;4;-;-;-;-;-;1;1;13
G09   Sequelas doenc inflam sist nerv centr;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;1;3;1;2;1;4;-;2;-;-;1;-;18
G10   Doenc de Huntington;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
G11   Ataxia hereditaria;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;1;4
G12   Atrofia muscular espinal e sindr correlatas;-;-;-;-;2;-;-;1;3;5;-;1;1;2;-;2;3;1;8;12;1;1;7;3;2;2;1;58
G21   Parkinsonismo secund;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
G24   Distonia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2
G31   Outr doenc degenerativas sist nervoso NCOP;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;2;-;1;8;1;-;1;-;1;1;1;19
G35   Esclerose mult;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
G36   Outr desmielinizacoes disseminadas agudas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
G37   Outr doenc desmielinizantes sist nerv centr;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;1;1;-;-;1;-;-;-;-;7
G40   Epilepsia;3;1;10;-;17;3;4;11;8;12;2;6;16;7;9;16;17;8;17;49;15;13;19;7;11;7;9;297
G41   Estado de mal epileptico;1;-;2;-;4;1;-;1;1;3;3;-;1;-;-;3;4;-;-;8;5;1;2;-;1;-;2;43
G45   Acid vasc cerebr isquemicos trans sindr corr;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
G47   Disturbios do sono;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
G50   Transt do nervo trigemeo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
G52   Transt de outr nervos cranianos;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
G58   Outr mononeuropatias;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;8;2;-;-;1;-;-;-;-;15
G60   Neuropatia hereditaria e idiopatica;-;-;-;1;3;-;1;1;-;-;-;-;1;-;1;-;2;2;1;5;-;-;1;-;1;-;1;21
G61   Polineuropatia inflam;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;2;-;1;2;1;-;1;-;1;-;-;12
G62   Outr polineuropatias;2;-;19;-;5;1;2;3;1;3;-;8;-;1;7;9;3;4;12;9;2;-;-;-;5;1;-;97
G70   Miastenia gravis outr transt neuromusculares;-;-;-;1;-;-;-;-;-;3;-;-;1;1;1;-;1;-;-;2;-;-;-;-;-;-;2;12
G71   Transt prim dos musculos;1;1;3;-;4;1;2;-;3;10;-;4;6;1;3;4;23;2;9;29;11;5;12;-;2;3;3;142
G72   Outr miopatias;-;-;-;-;1;-;-;-;-;1;-;-;-;2;1;-;-;-;1;1;-;-;1;-;-;-;-;8
G80   Paralisia cerebral;4;4;9;1;30;5;6;49;25;31;5;11;51;17;12;51;92;12;40;130;71;27;50;12;9;15;24;793
G81   Hemiplegia;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G82   Paraplegia e tetraplegia;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;1;1;-;-;-;-;-;-;7
G83   Outr sindr paraliticas;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
G90   Transt do sist nervoso autonomo;-;-;-;-;1;-;-;1;-;2;-;-;1;-;-;2;-;-;1;1;1;1;-;-;-;-;-;11
G91   Hidrocefalia;2;1;2;-;18;1;2;17;10;21;3;2;7;7;1;34;23;1;23;48;8;7;7;4;2;10;2;263
G92   Encefalopatia toxica;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G93   Outr transt do encefalo;8;3;2;2;11;1;2;14;3;48;4;4;11;2;-;23;16;7;43;111;6;9;9;4;2;17;7;369
G95   Outr doenc da medula espinal;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
G96   Outr transt do sist nervoso central;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;4;-;-;2;1;-;-;-;-;-;-;12
G98   Outr transt do sist nervoso NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;5
H05   Transt da orbita;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
H35   Outr transt da retina;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
H43   Transt do humor vitreo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
H60   Otite externa;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
H65   Otite media nao-supurativa;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;5
H66   Otite media supurativa e as NE;-;-;2;-;-;1;-;1;1;1;-;1;1;2;1;2;3;1;3;1;1;-;1;-;-;1;-;24
H70   Mastoidite e afeccoes correlatas;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;-;-;-;-;-;-;4
I00   Febre reumatica s/mencao de compr do coracao;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;4
I01   Febre reumatica c/compr do coracao;-;-;-;1;2;-;-;-;2;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
I05   Doenc reumaticas da valva mitral;-;-;1;-;-;-;-;-;-;-;-;2;2;1;1;1;-;2;1;-;-;-;-;-;-;-;-;11
I06   Doenc reumaticas da valva aortica;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;4
I07   Doenc reumaticas da valva tricuspide;-;-;-;-;1;-;-;-;-;2;-;-;2;-;-;-;1;-;1;1;-;-;-;-;-;-;-;8
I08   Doenc de mult valvas;-;-;-;-;1;-;-;2;-;-;-;1;1;-;-;1;-;1;-;-;-;1;-;-;-;-;-;8
I09   Outr doenc reumaticas do coracao;-;-;-;-;-;-;-;1;-;-;3;-;1;2;-;2;-;-;1;-;-;-;-;-;-;-;-;10
I10   Hipertensao essencial;-;-;-;-;1;-;-;2;-;-;-;2;-;3;2;-;-;-;2;1;-;-;-;-;-;-;-;13
I11   Doenc cardiaca hipertensiva;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;1;-;2;1;-;-;-;-;1;-;9
I12   Doenc renal hipertensiva;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;3;1;-;-;-;-;-;-;10
I13   Doenc cardiaca e renal hipertensiva;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
I21   Infarto agudo do miocardio;1;1;-;-;5;1;1;10;1;5;1;3;8;1;-;2;4;3;11;31;5;2;3;1;-;1;-;101
I24   Outr doenc isquemicas agudas do coracao;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
I25   Doenc isquemica cronica do coracao;-;-;-;-;2;-;-;2;1;1;-;1;-;1;-;1;-;-;6;5;-;-;-;-;-;-;-;20
I26   Embolia pulmonar;-;-;-;-;1;1;-;2;-;1;-;-;1;-;-;3;3;-;5;19;2;1;1;2;2;4;-;48
I27   Outr form de doenc cardiaca pulmonar;-;1;2;-;8;-;1;7;6;4;1;2;4;3;1;6;9;2;8;17;4;5;2;1;-;1;2;97
I28   Outr doenc dos vasos pulmonares;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
I30   Pericardite aguda;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;-;5
I31   Outr doenc do pericardio;1;-;-;-;1;-;-;1;-;1;-;-;-;1;-;3;2;2;2;5;-;-;1;-;1;1;-;22
I33   Endocardite aguda e subaguda;-;-;-;1;1;1;2;2;1;1;-;1;1;-;-;4;1;1;5;2;1;1;5;-;1;-;1;33
I34   Transt nao-reumaticos da valva mitral;-;-;-;-;2;-;1;1;3;1;1;-;-;1;-;2;-;-;4;3;-;-;1;-;-;-;-;20
I35   Transt nao-reumaticos da valva aortica;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;1;1;-;2;2;1;-;-;1;-;-;-;12
I36   Transt nao-reumaticos da valva tricuspide;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3
I37   Transt da valva pulmonar;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
I38   Endocardite de valva NE;1;1;-;-;2;-;-;2;-;-;-;2;1;1;-;2;1;-;3;3;-;2;1;-;-;1;1;24
I40   Miocardite aguda;-;-;-;-;-;-;-;1;-;2;-;-;2;-;-;1;2;1;2;7;4;-;6;1;-;-;1;30
I42   Cardiomiopatias;1;2;3;3;14;-;2;14;5;16;4;20;9;9;2;15;31;3;26;86;11;7;6;3;6;12;4;314
I44   Bloqueio atrioventricular e do ramo esquerdo;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;4
I45   Outr transt de conducao;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
I46   Parada cardiaca;-;1;-;-;1;1;1;2;1;1;-;1;-;1;-;2;4;-;-;2;4;-;-;-;1;-;-;23
I47   Taquicardia paroxistica;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;2;-;1;1;1;1;-;-;-;-;-;9
I48   Flutter e fibrilacao atrial;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
I49   Outr arritmias cardiacas;-;1;2;-;3;-;-;-;1;-;-;2;-;1;-;1;3;-;4;6;1;4;2;1;-;1;-;33
I50   Insuf cardiaca;1;1;-;-;11;-;-;4;5;3;2;1;2;4;1;11;11;-;7;15;5;-;4;1;-;2;-;91
I51   Complic cardiopatias doenc cardiacas mal def;1;1;2;1;6;-;-;12;3;5;1;-;8;1;2;6;6;2;9;19;2;4;2;-;3;4;3;103
I60   Hemorragia subaracnoide;1;-;-;-;3;-;-;1;-;2;3;2;5;-;1;6;10;-;11;12;5;-;3;-;1;5;4;75
I61   Hemorragia intracerebral;2;-;4;1;2;1;2;4;6;12;-;4;8;1;4;5;12;2;8;43;1;2;4;1;4;5;4;142
I62   Outr hemorragias intracranianas nao-traum;2;-;1;1;1;-;-;1;-;1;1;-;1;-;1;2;1;-;4;7;2;1;1;-;2;1;-;31
I63   Infarto cerebral;-;1;-;-;2;-;3;1;-;2;1;-;-;-;-;1;1;-;1;8;-;1;2;-;-;-;-;24
I64   Acid vasc cerebr NE como hemorrag isquemico;-;-;2;1;3;2;1;6;-;3;-;-;-;1;-;4;3;-;2;5;2;-;-;-;1;-;-;36
I67   Outr doenc cerebrovasculares;1;1;1;-;4;-;-;3;2;1;1;7;-;1;-;12;4;-;6;8;1;2;1;-;-;2;-;58
I69   Sequelas de doenc cerebrovasculares;-;1;-;-;1;-;-;1;1;1;2;-;-;-;-;2;1;1;-;11;1;-;3;-;-;3;2;31
I70   Aterosclerose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
I71   Aneurisma e disseccao da aorta;-;1;-;-;-;-;1;1;1;1;-;-;-;-;-;3;2;1;2;2;-;-;2;-;-;-;-;17
I72   Outr aneurismas;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;1;2;1;1;-;-;-;-;-;9
I74   Embolia e trombose arteriais;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;1;-;5
I77   Outr afeccoes das arterias e arteriolas;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;2;-;-;1;-;-;-;-;7
I78   Doenc dos capilares;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
I80   Flebite e tromboflebite;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;1;-;4;1;-;-;-;2;-;-;12
I81   Trombose da veia porta;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;3
I82   Outr embolia e trombose venosas;-;-;-;1;-;-;-;1;-;-;2;-;1;-;-;-;1;-;1;3;-;-;1;-;-;-;-;11
I84   Hemorroidas;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I85   Varizes esofagianas;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
I86   Varizes de outr localiz;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
I87   Outr transt das veias;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2
I88   Linfadenite inespecifica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
I89   Outr transt nao-infecc vasos linf gangl linf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;3
I95   Hipotensao;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
J00   Nasofaringite aguda;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
J01   Sinusite aguda;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;2;1;-;-;-;-;-;7
J02   Faringite aguda;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
J03   Amigdalite aguda;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;2;-;1;-;-;-;-;-;1;1;-;10
J04   Laringite e traqueite agudas;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;1;-;5;1;1;-;-;-;-;2;18
J05   Laringite obstrutiva aguda e epiglotite;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
J06   Infecc agudas vias aereas super loc mult NE;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;1;1;1;2;-;-;-;-;-;1;10
J09   Influenza A (H1N1);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;-;-;1;1;-;7
J10   Influenza dev outro virus influenza ident;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5;4;3;-;-;3;-;22
J11   Influenza dev virus nao identificado;-;2;1;-;3;-;-;2;1;1;-;-;-;-;-;1;1;1;2;5;-;-;1;1;1;4;-;27
J12   Pneumonia viral NCOP;-;-;1;3;4;1;1;2;-;-;-;-;2;-;-;1;-;-;-;4;4;-;10;1;-;1;-;35
J13   Pneumonia dev Streptococcus pneumoniae;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
J14   Pneumonia dev Haemophilus infuenzae;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
J15   Pneumonia bacter NCOP;4;7;23;6;39;1;11;16;11;16;13;7;8;4;1;15;17;4;8;33;12;11;11;8;8;10;6;310
